年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-23,2020-12-23,0.0089,2020-12-24
2020年,2020-09-28,2020-09-28,0.0121,2020-09-29
2020年,2020-06-22,2020-06-22,0.0125,2020-06-23
2020年,2020-03-20,2020-03-20,0.0101,2020-03-23
2019年,2019-12-26,2019-12-26,0.0093,2019-12-27
2019年,2019-09-26,2019-09-26,0.0030,2019-09-27
2019年,2019-03-28,2019-03-28,0.0201,2019-03-29
2018年,2018-12-25,2018-12-25,0.0068,2018-12-26
2018年,2018-09-25,2018-09-25,0.0062,2018-09-26
2018年,2018-07-05,2018-07-05,0.0007,2018-07-06
2018年,2018-03-29,2018-03-29,0.0018,2018-03-30
2017年,2017-12-28,2017-12-28,0.0067,2017-12-29
2017年,2017-09-27,2017-09-27,0.0500,2017-09-28
