年份,权益登记日,除息日,每份分红,分红发放日
2017年,2017-03-27,2017-03-27,0.3540,2017-03-29
2014年,2014-12-03,2014-12-03,0.1000,2014-12-05
2013年,2013-12-31,2013-12-31,0.0100,2014-01-03
2012年,2012-12-26,2012-12-26,0.1500,2012-12-28
2012年,2012-06-06,2012-06-06,0.0200,2012-06-08
2011年,2011-06-08,2011-06-08,0.0100,2011-06-10
2010年,2010-09-07,2010-09-07,0.0150,2010-09-09
2010年,2010-05-13,2010-05-13,0.0150,2010-05-17
2009年,2009-03-30,2009-03-30,0.0100,2009-04-01
2008年,2008-07-02,2008-07-02,0.0100,2008-07-04
2008年,2008-03-24,2008-03-24,0.0100,2008-03-26
2007年,2007-12-10,2007-12-10,0.0150,2007-12-12
2007年,2007-04-24,2007-04-24,0.0046,2007-04-25
2007年,2007-02-09,2007-02-09,0.0025,2007-02-12
2006年,2006-12-25,2006-12-25,0.0025,2006-12-26
2006年,2006-11-13,2006-11-13,0.0025,2006-11-14
2006年,2006-09-18,2006-09-18,0.0025,2006-09-19
