年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-18,2021-01-18,0.0100,2021-01-19
2020年,2020-01-15,2020-01-15,0.0100,2020-01-16
2018年,2018-01-15,2018-01-15,0.0100,2018-01-16
2016年,2016-01-18,2016-01-18,0.0100,2016-01-19
2015年,2015-01-21,2015-01-21,0.0096,2015-01-22
2013年,2013-09-04,2013-09-04,0.1371,2013-09-05
2012年,2012-07-26,2012-07-26,0.0690,2012-07-27
2011年,2011-12-01,2011-12-01,0.1600,2011-12-02
2011年,2011-01-21,2011-01-21,0.0100,2011-01-24
2010年,2010-01-20,2010-01-20,0.0200,2010-01-21
2007年,2007-01-19,2007-01-19,0.4600,2007-01-22
2007年,2007-01-15,2007-01-15,0.3500,2007-01-16
2007年,2007-01-04,2007-01-04,0.2500,2007-01-05
2006年,2006-12-14,2006-12-14,0.2000,2006-12-15
2006年,2006-11-30,2006-11-30,0.0500,2006-12-01
2006年,2006-06-27,2006-06-28,0.0400,2006-06-29
2006年,2006-06-14,2006-06-15,0.0200,2006-06-16
2006年,2006-04-06,2006-04-07,0.0300,2006-04-10
2004年,2004-06-25,2004-06-28,0.0150,2004-06-29
2004年,2004-03-01,2004-03-02,0.0300,2004-03-03
2003年,2003-12-26,2003-12-29,0.0450,2003-12-30
2003年,2003-06-24,2003-06-25,0.0100,2003-06-26
2003年,2003-06-03,2003-06-03,0.0500,2003-06-04
