年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-04-09,2020-04-09,0.0154,2020-04-13
2018年,2018-01-16,2018-01-16,0.0350,2018-01-18
2017年,2017-01-19,2017-01-19,0.0270,2017-01-23
2016年,2016-01-20,2016-01-20,0.4800,2016-01-22
2015年,2015-01-20,2015-01-20,0.0650,2015-01-22
2011年,2011-01-13,2011-01-13,0.0800,2011-01-17
2009年,2009-12-28,2009-12-28,0.1500,2009-12-30
2007年,2007-08-30,2007-08-30,0.0700,2007-09-03
2006年,2006-11-15,2006-11-15,0.2100,2006-11-17
2006年,2006-11-02,2006-11-02,0.0300,2006-11-06
2006年,2006-05-16,2006-05-16,0.0100,2006-05-18
