净值日期,累计净值,单位净值,日增长率,复权净值
2019-08-02,1.778,1.622,0.0,1.778
2019-08-05,1.754,1.598,-1.4797,1.754
2019-08-06,1.571,1.571,-1.6896,1.571
2019-08-07,1.567,1.567,-0.2546,1.567
2019-08-08,1.577,1.577,0.6382,1.577
2019-08-09,1.564,1.564,-0.8244,1.564
2019-08-12,1.586,1.586,1.4066,1.586
2019-08-13,1.575,1.575,-0.6936,1.575
2019-08-14,1.582,1.582,0.4444,1.582
2019-08-15,1.586,1.586,0.2528,1.586
2019-08-16,1.588,1.588,0.1261,1.588
2019-08-19,1.617,1.617,1.8262,1.617
2019-08-20,1.616,1.616,-0.0618,1.616
2019-08-21,1.613,1.613,-0.1856,1.613
2019-08-22,1.612,1.612,-0.062,1.612
2019-08-23,1.615,1.615,0.1861,1.615
2019-08-26,1.599,1.599,-0.9907,1.599
2019-08-27,1.619,1.619,1.2508,1.619
2019-08-28,1.62,1.62,0.0618,1.62
2019-08-29,1.614,1.614,-0.3704,1.614
2019-08-30,1.606,1.606,-0.4957,1.606
2019-09-02,1.627,1.627,1.3076,1.627
2019-09-03,1.63,1.63,0.1844,1.63
2019-09-04,1.649,1.649,1.1656,1.649
2019-09-05,1.658,1.658,0.5458,1.658
2019-09-06,1.669,1.669,0.6634,1.669
2019-09-09,1.679,1.679,0.5992,1.679
2019-09-10,1.671,1.671,-0.4765,1.671
2019-09-11,1.666,1.666,-0.2992,1.666
2019-09-12,1.675,1.675,0.5402,1.675
2019-09-16,1.675,1.675,0.0,1.675
2019-09-17,1.65,1.65,-1.4925,1.65
2019-09-18,1.659,1.659,0.5455,1.659
2019-09-19,1.662,1.662,0.1808,1.662
2019-09-20,1.666,1.666,0.2407,1.666
2019-09-23,1.645,1.645,-1.2605,1.645
2019-09-24,1.647,1.647,0.1216,1.647
2019-09-25,1.628,1.628,-1.1536,1.628
2019-09-26,1.618,1.618,-0.6143,1.618
2019-09-27,1.614,1.614,-0.2472,1.614
2019-09-30,1.607,1.607,-0.4337,1.607
2019-10-08,1.617,1.617,0.6223,1.617
2019-10-09,1.63,1.63,0.804,1.63
2019-10-10,1.639,1.639,0.5521,1.639
2019-10-11,1.648,1.648,0.5491,1.648
2019-10-14,1.665,1.665,1.0316,1.665
2019-10-15,1.654,1.654,-0.6607,1.654
2019-10-16,1.648,1.648,-0.3628,1.648
2019-10-17,1.643,1.643,-0.3034,1.643
2019-10-18,1.622,1.622,-1.2781,1.622
2019-10-21,1.628,1.628,0.3699,1.628
2019-10-22,1.635,1.635,0.43,1.635
2019-10-23,1.629,1.629,-0.367,1.629
2019-10-24,1.631,1.631,0.1228,1.631
2019-10-25,1.64,1.64,0.5518,1.64
2019-10-28,1.648,1.648,0.4878,1.648
2019-10-29,1.638,1.638,-0.6068,1.638
2019-10-30,1.625,1.625,-0.7937,1.625
2019-10-31,1.616,1.616,-0.5538,1.616
2019-11-01,1.635,1.635,1.1757,1.635
2019-11-04,1.639,1.639,0.2446,1.639
2019-11-05,1.646,1.646,0.4271,1.646
2019-11-06,1.635,1.635,-0.6683,1.635
2019-11-07,1.64,1.64,0.3058,1.64
2019-11-08,1.637,1.637,-0.1829,1.637
2019-11-11,1.609,1.609,-1.7104,1.609
2019-11-12,1.613,1.613,0.2486,1.613
2019-11-13,1.606,1.606,-0.434,1.606
2019-11-14,1.606,1.606,0.0,1.606
2019-11-15,1.591,1.591,-0.934,1.591
2019-11-18,1.607,1.607,1.0057,1.607
2019-11-19,1.623,1.623,0.9956,1.623
2019-11-20,1.611,1.611,-0.7394,1.611
2019-11-21,1.609,1.609,-0.1241,1.609
2019-11-22,1.603,1.603,-0.3729,1.603
2019-11-25,1.623,1.623,1.2477,1.623
2019-11-26,1.62,1.62,-0.1848,1.62
2019-11-27,1.612,1.612,-0.4938,1.612
2019-11-28,1.607,1.607,-0.3102,1.607
2019-11-29,1.604,1.604,-0.1867,1.604
2019-12-02,1.609,1.609,0.3117,1.609
2019-12-03,1.615,1.615,0.3729,1.615
2019-12-04,1.608,1.608,-0.4334,1.608
2019-12-05,1.615,1.615,0.4353,1.615
2019-12-06,1.617,1.617,0.1238,1.617
2019-12-09,1.624,1.624,0.4329,1.624
2019-12-10,1.623,1.623,-0.0616,1.623
2019-12-11,1.633,1.633,0.6161,1.633
2019-12-12,1.635,1.635,0.1225,1.635
2019-12-13,1.647,1.647,0.7339,1.647
2019-12-16,1.655,1.655,0.4857,1.655
2019-12-17,1.665,1.665,0.6042,1.665
2019-12-18,1.66,1.66,-0.3003,1.66
2019-12-19,1.664,1.664,0.241,1.664
2019-12-20,1.658,1.658,-0.3606,1.658
2019-12-23,1.638,1.638,-1.2063,1.638
2019-12-24,1.647,1.647,0.5495,1.647
2019-12-25,1.645,1.645,-0.1214,1.645
2019-12-26,1.662,1.662,1.0334,1.662
2019-12-27,1.66,1.66,-0.1203,1.66
2019-12-30,1.68,1.68,1.2048,1.68
2019-12-31,1.69,1.69,0.5952,1.69
2020-01-02,1.712,1.712,1.3018,1.712
2020-01-03,1.711,1.711,-0.0584,1.711
2020-01-06,1.706,1.706,-0.2922,1.706
2020-01-07,1.719,1.719,0.762,1.719
2020-01-08,1.7,1.7,-1.1053,1.7
2020-01-09,1.72,1.72,1.1765,1.72
2020-01-10,1.714,1.714,-0.3488,1.714
2020-01-13,1.725,1.725,0.6418,1.725
2020-01-14,1.727,1.727,0.1159,1.727
2020-01-15,1.719,1.719,-0.4632,1.719
2020-01-16,1.71,1.71,-0.5236,1.71
2020-01-17,1.711,1.711,0.0585,1.711
2020-01-20,1.713,1.713,0.1169,1.713
2020-01-21,1.684,1.684,-1.6929,1.684
2020-01-22,1.689,1.689,0.2969,1.689
2020-01-23,1.648,1.648,-2.4275,1.648
2020-02-03,1.512,1.512,-8.2524,1.512
2020-02-04,1.542,1.542,1.9841,1.542
2020-02-05,1.558,1.558,1.0376,1.558
2020-02-06,1.576,1.576,1.1553,1.576
2020-02-07,1.581,1.581,0.3173,1.581
2020-02-10,1.603,1.603,1.3915,1.603
2020-02-11,1.609,1.609,0.3743,1.609
2020-02-12,1.619,1.619,0.6215,1.619
2020-02-13,1.61,1.61,-0.5559,1.61
2020-02-14,1.621,1.621,0.6832,1.621
2020-02-17,1.653,1.653,1.9741,1.653
2020-02-18,1.657,1.657,0.242,1.657
2020-02-19,1.651,1.651,-0.3621,1.651
2020-02-20,1.672,1.672,1.272,1.672
2020-02-21,1.679,1.679,0.4187,1.679
2020-02-24,1.668,1.668,-0.6552,1.668
2020-02-25,1.652,1.652,-0.9592,1.652
2020-02-26,1.652,1.652,0.0,1.652
2020-02-27,1.655,1.655,0.1816,1.655
2020-02-28,1.607,1.607,-2.9003,1.607
2020-03-02,1.659,1.659,3.2358,1.659
2020-03-03,1.657,1.657,-0.1206,1.657
2020-03-04,1.676,1.676,1.1467,1.676
2020-03-05,1.696,1.696,1.1933,1.696
2020-03-06,1.677,1.677,-1.1203,1.677
2020-03-09,1.628,1.628,-2.9219,1.628
2020-03-10,1.654,1.654,1.5971,1.654
2020-03-11,1.64,1.64,-0.8464,1.64
2020-03-12,1.612,1.612,-1.7073,1.612
2020-03-13,1.588,1.588,-1.4888,1.588
2020-03-16,1.542,1.542,-2.8967,1.542
2020-03-17,1.537,1.537,-0.3243,1.537
2020-03-18,1.516,1.516,-1.3663,1.516
2020-03-19,1.502,1.502,-0.9235,1.502
2020-03-20,1.521,1.521,1.265,1.521
2020-03-23,1.479,1.479,-2.7613,1.479
2020-03-24,1.513,1.513,2.2989,1.513
2020-03-25,1.543,1.543,1.9828,1.543
2020-03-26,1.529,1.529,-0.9073,1.529
2020-03-27,1.539,1.539,0.654,1.539
2020-03-30,1.52,1.52,-1.2346,1.52
2020-03-31,1.518,1.518,-0.1316,1.518
2020-04-01,1.509,1.509,-0.5929,1.509
2020-04-02,1.53,1.53,1.3917,1.53
2020-04-03,1.522,1.522,-0.5229,1.522
2020-04-07,1.549,1.549,1.774,1.549
2020-04-08,1.547,1.547,-0.1291,1.547
2020-04-09,1.551,1.551,0.2586,1.551
2020-04-10,1.536,1.536,-0.9671,1.536
2020-04-13,1.532,1.532,-0.2604,1.532
2020-04-14,1.551,1.551,1.2402,1.551
2020-04-15,1.543,1.543,-0.5158,1.543
2020-04-16,1.538,1.538,-0.324,1.538
2020-04-17,1.543,1.543,0.3251,1.543
2020-04-20,1.551,1.551,0.5185,1.551
2020-04-21,1.542,1.542,-0.5803,1.542
2020-04-22,1.549,1.549,0.454,1.549
2020-04-23,1.545,1.545,-0.2582,1.545
2020-04-24,1.536,1.536,-0.5825,1.536
2020-04-27,1.544,1.544,0.5208,1.544
2020-04-28,1.535,1.535,-0.5829,1.535
2020-04-29,1.549,1.549,0.9121,1.549
2020-04-30,1.564,1.564,0.9684,1.564
2020-05-06,1.565,1.565,0.0639,1.565
2020-05-07,1.568,1.568,0.1917,1.568
2020-05-08,1.579,1.579,0.7015,1.579
2020-05-11,1.58,1.58,0.0633,1.58
