年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-23,2020-12-23,0.0083,2020-12-24
2020年,2020-09-28,2020-09-28,0.0115,2020-09-29
2020年,2020-06-22,2020-06-22,0.0119,2020-06-23
2020年,2020-03-20,2020-03-20,0.0095,2020-03-23
2019年,2019-12-26,2019-12-26,0.0086,2019-12-27
2019年,2019-09-26,2019-09-26,0.0011,2019-09-27
2019年,2019-03-28,2019-03-28,0.0199,2019-03-29
2018年,2018-12-25,2018-12-25,0.0060,2018-12-26
2018年,2018-09-25,2018-09-25,0.0052,2018-09-26
2018年,2018-03-29,2018-03-29,0.0007,2018-03-30
2017年,2017-12-28,2017-12-28,0.0006,2017-12-29
2017年,2017-09-27,2017-09-27,0.0080,2017-09-28
2016年,2016-12-27,2016-12-27,0.0030,2016-12-28
2016年,2016-10-10,2016-10-10,0.0136,2016-10-11
2016年,2016-06-29,2016-06-29,0.0102,2016-06-30
2016年,2016-03-28,2016-03-28,0.0116,2016-03-29
2015年,2015-12-25,2015-12-25,0.0230,2015-12-28
2015年,2015-09-28,2015-09-28,0.0100,2015-09-29
2015年,2015-07-03,2015-07-03,0.0660,2015-07-06
2015年,2015-03-30,2015-03-30,0.0260,2015-03-31
2014年,2014-12-25,2014-12-25,0.0320,2014-12-26
2014年,2014-10-08,2014-10-08,0.0170,2014-10-09
2014年,2014-07-01,2014-07-01,0.0090,2014-07-02
2013年,2013-06-26,2013-06-26,0.0135,2013-06-27
2013年,2013-03-28,2013-03-28,0.0129,2013-03-29
2012年,2012-12-26,2012-12-26,0.0250,2012-12-27
2012年,2012-10-08,2012-10-08,0.0100,2012-10-09
2012年,2012-06-27,2012-06-27,0.0100,2012-06-28
2011年,2011-06-28,2011-06-28,0.0130,2011-06-29
2011年,2011-03-30,2011-03-30,0.0140,2011-03-31
2010年,2010-12-21,2010-12-21,0.0350,2010-12-22
2010年,2010-09-27,2010-09-27,0.0130,2010-09-28
2010年,2010-06-29,2010-06-29,0.0290,2010-06-30
2010年,2010-03-30,2010-03-30,0.0210,2010-03-31
2009年,2009-12-22,2009-12-22,0.0110,2009-12-23
2009年,2009-09-25,2009-09-25,0.0260,2009-09-28
2009年,2009-06-29,2009-06-30,0.0120,2009-07-01
2009年,2009-03-30,2009-03-31,0.0420,2009-04-01
2008年,2008-12-22,2008-12-23,0.0500,2008-12-24
2008年,2008-10-07,2008-10-08,0.0210,2008-10-09
2008年,2008-06-23,2008-06-24,0.0250,2008-06-25
2008年,2008-01-29,2008-01-30,0.0260,2008-01-31
2007年,2007-11-02,2007-11-05,0.0420,2007-11-06
2007年,2007-07-27,2007-07-30,0.0450,2007-07-31
2007年,2007-04-16,2007-04-17,0.0450,2007-04-18
2007年,2007-01-29,2007-01-30,0.0300,2007-01-31
2006年,2006-10-23,2006-10-24,0.0050,2006-10-25
