年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-04-09,2020-04-09,0.0962,2020-04-13
2018年,2018-11-19,2018-11-19,0.0550,2018-11-21
2018年,2018-04-24,2018-04-24,0.0430,2018-04-26
2016年,2016-04-27,2016-04-27,0.2800,2016-04-29
2015年,2015-04-27,2015-04-27,0.2000,2015-04-29
2014年,2014-01-17,2014-01-17,0.1300,2014-01-21
2011年,2011-11-23,2011-11-23,0.2500,2011-11-25
2011年,2011-01-12,2011-01-12,0.2500,2011-01-14
2010年,2010-01-19,2010-01-19,0.2300,2010-01-21
2009年,2009-05-27,2009-05-27,0.0500,2009-06-02
2008年,2008-04-30,2008-04-30,0.2600,2008-05-06
2007年,2007-01-26,2007-01-26,1.1200,2007-01-30
2006年,2006-06-26,2006-06-26,0.0400,2006-06-28
2006年,2006-01-20,2006-01-20,0.0100,2006-01-24
