年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-16,2020-12-16,0.0233,2020-12-17
2020年,2020-09-10,2020-09-10,0.0239,2020-09-11
2020年,2020-06-16,2020-06-16,0.0165,2020-06-17
2020年,2020-03-12,2020-03-12,0.0208,2020-03-13
2019年,2019-11-29,2019-11-29,0.0557,2019-12-02
2019年,2019-01-17,2019-01-17,0.0198,2019-01-18
2018年,2018-01-16,2018-01-16,0.0417,2018-01-17
2017年,2017-01-18,2017-01-18,0.0332,2017-01-19
2015年,2015-12-23,2015-12-23,0.1787,2015-12-24
2014年,2014-07-25,2014-07-25,0.0500,2014-07-28
2014年,2014-01-17,2014-01-17,0.0131,2014-01-20
2013年,2013-01-22,2013-01-22,0.0200,2013-01-23
