年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-08-28,2020-08-28,0.0460,2020-08-31
2020年,2020-06-24,2020-06-24,0.0515,2020-06-29
2019年,2019-04-10,2019-04-10,0.0550,2019-04-11
2019年,2019-01-18,2019-01-18,0.0452,2019-01-21
2017年,2017-11-09,2017-11-09,0.0360,2017-11-10
2016年,2016-01-20,2016-01-20,0.0930,2016-01-21
2015年,2015-01-22,2015-01-22,0.0941,2015-01-23
2013年,2013-12-23,2013-12-23,0.0649,2013-12-24
2012年,2012-06-21,2012-06-21,0.0500,2012-06-25
2010年,2010-12-23,2010-12-23,0.0650,2010-12-24
2010年,2010-08-26,2010-08-26,0.0800,2010-08-27
2009年,2009-01-19,2009-01-19,0.0300,2009-01-20
