年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-03-15,2021-03-15,0.0460,2021-03-17
2020年,2020-12-15,2020-12-15,0.0430,2020-12-17
2020年,2020-09-15,2020-09-15,0.0380,2020-09-17
2020年,2020-06-15,2020-06-15,0.0110,2020-06-17
2020年,2020-03-18,2020-03-18,0.0160,2020-03-20
2019年,2019-03-19,2019-03-19,0.0170,2019-03-21
2018年,2018-06-14,2018-06-14,0.0350,2018-06-19
2018年,2018-03-19,2018-03-19,0.0250,2018-03-21
2017年,2017-12-18,2017-12-18,0.0400,2017-12-20
2017年,2017-09-18,2017-09-18,0.0200,2017-09-20
2017年,2017-06-16,2017-06-16,0.0100,2017-06-20
2017年,2017-03-16,2017-03-16,0.0100,2017-03-20
