年份,权益登记日,除息日,每份分红,分红发放日
2019年,2019-11-11,2019-11-11,0.1700,2019-11-12
2018年,2018-05-28,2018-05-28,0.3070,2018-05-29
2013年,2013-12-13,2013-12-13,0.0600,2013-12-16
2013年,2013-06-27,2013-06-27,0.0600,2013-06-28
2010年,2010-12-07,2010-12-07,0.0200,2010-12-08
2010年,2010-08-23,2010-08-23,0.0120,2010-08-24
2010年,2010-06-28,2010-06-28,0.0200,2010-06-29
2010年,2010-01-28,2010-01-28,0.0200,2010-01-29
2009年,2009-10-09,2009-10-09,0.0300,2009-10-12
2009年,2009-06-03,2009-06-03,0.0150,2009-06-04
2009年,2009-03-24,2009-03-24,0.0250,2009-03-25
2008年,2008-11-26,2008-11-26,0.0200,2008-11-27
