年份,权益登记日,除息日,每份分红,分红发放日
2017年,2017-06-27,2017-06-27,0.4400,2017-06-29
2013年,2013-06-18,2013-06-18,0.0110,2013-06-20
2013年,2013-04-16,2013-04-16,0.0110,2013-04-18
2013年,2013-03-13,2013-03-13,0.0120,2013-03-15
2013年,2013-02-21,2013-02-21,0.0130,2013-02-25
2013年,2013-01-15,2013-01-15,0.0150,2013-01-17
2012年,2012-11-13,2012-11-13,0.0070,2012-11-15
2012年,2012-09-17,2012-09-17,0.0100,2012-09-19
2012年,2012-08-14,2012-08-14,0.0100,2012-08-16
2012年,2012-07-16,2012-07-16,0.0080,2012-07-18
2012年,2012-06-18,2012-06-18,0.0100,2012-06-20
2012年,2012-03-12,2012-03-12,0.0150,2012-03-14
2012年,2012-01-17,2012-01-17,0.0070,2012-01-19
2011年,2011-05-16,2011-05-16,0.0050,2011-05-18
2011年,2011-03-28,2011-03-28,0.0050,2011-03-30
2011年,2011-01-14,2011-01-14,0.0050,2011-01-18
