年份,权益登记日,除息日,每份分红,分红发放日
2016年,2016-01-04,2016-01-04,0.2000,2016-01-06
2013年,2013-06-28,2013-06-28,0.0900,2013-07-02
2012年,2012-06-28,2012-06-28,0.1000,2012-07-02
2011年,2011-06-29,2011-06-29,0.1000,2011-07-01
2008年,2008-12-26,2008-12-26,0.0600,2008-12-29
2007年,2007-08-13,2007-08-13,0.2500,2007-08-15
2007年,2007-07-06,2007-07-06,0.0130,2007-07-10
2007年,2007-03-28,2007-03-28,0.0130,2007-03-30
2006年,2006-12-18,2006-12-18,0.0130,2006-12-20
2006年,2006-09-18,2006-09-18,0.0130,2006-09-20
2006年,2006-06-26,2006-06-26,0.0130,2006-06-28
2006年,2006-03-28,2006-03-28,0.0130,2006-03-30
2005年,2005-09-26,2005-09-26,0.0130,2005-09-28
2005年,2005-04-14,2005-04-14,0.0130,2005-04-18
2005年,2005-02-03,2005-02-03,0.0130,2005-02-16
