年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-08-10,2020-08-10,0.0820,2020-08-12
2019年,2019-09-24,2019-09-24,0.1000,2019-09-26
2018年,2018-09-19,2018-09-19,0.1821,2018-09-21
2017年,2017-08-28,2017-08-28,0.2647,2017-08-30
2016年,2016-12-12,2016-12-12,0.6108,2016-12-14
2015年,2015-01-13,2015-01-13,0.1030,2015-01-15
2014年,2014-07-17,2014-07-17,0.0300,2014-07-21
2011年,2011-12-20,2011-12-20,0.0580,2011-12-22
2010年,2010-10-20,2010-10-20,0.0800,2010-10-22
2009年,2009-08-17,2009-08-17,0.1000,2009-08-19
2008年,2008-12-19,2008-12-19,0.0420,2008-12-23
2007年,2007-06-25,2007-06-25,0.1300,2007-06-27
2006年,2006-03-13,2006-03-13,0.0760,2006-03-15
2006年,2006-01-24,2006-01-24,0.0240,2006-02-06
