年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-19,2021-01-19,0.0050,2021-01-21
2020年,2020-03-18,2020-03-18,0.0100,2020-03-20
2018年,2018-09-26,2018-09-26,0.0500,2018-09-28
2018年,2018-01-09,2018-01-09,0.0100,2018-01-11
2017年,2017-01-19,2017-01-19,0.0100,2017-01-23
2016年,2016-01-18,2016-01-18,0.0100,2016-01-20
2015年,2015-01-21,2015-01-21,0.3000,2015-01-23
2014年,2014-01-15,2014-01-15,0.0500,2014-01-17
2013年,2013-01-15,2013-01-15,0.0030,2013-01-17
2011年,2011-01-12,2011-01-12,0.0300,2011-01-14
2009年,2009-12-22,2009-12-22,0.1200,2009-12-24
2007年,2007-01-19,2007-01-19,0.8700,2007-01-23
2006年,2006-05-18,2006-05-18,0.1000,2006-05-22
2006年,2006-04-13,2006-04-13,0.0500,2006-04-17
2004年,2004-04-15,2004-04-15,0.0100,2004-04-19
2004年,2004-02-23,2004-02-23,0.0420,2004-02-25
2004年,2004-02-13,2004-02-13,0.0220,2004-02-17
2004年,2004-02-04,2004-02-04,0.0280,2004-02-06
2003年,2003-12-24,2003-12-24,0.0080,2003-12-26
