年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-11-26,2020-11-26,0.0200,2020-11-30
2020年,2020-09-04,2020-09-04,0.0100,2020-09-08
2020年,2020-05-21,2020-05-21,0.0100,2020-05-25
2020年,2020-02-25,2020-02-25,0.0100,2020-02-27
2019年,2019-11-25,2019-11-25,0.0200,2019-11-27
2019年,2019-09-10,2019-09-10,0.0100,2019-09-12
2019年,2019-06-17,2019-06-17,0.0100,2019-06-19
2019年,2019-03-13,2019-03-13,0.0100,2019-03-15
2018年,2018-12-20,2018-12-20,0.0200,2018-12-24
2018年,2018-08-23,2018-08-23,0.0100,2018-08-27
2018年,2018-04-13,2018-04-13,0.0100,2018-04-17
2018年,2018-01-29,2018-01-29,0.0100,2018-01-31
2017年,2017-10-09,2017-10-09,0.0100,2017-10-11
2017年,2017-07-11,2017-07-11,0.0100,2017-07-13
2016年,2016-09-27,2016-09-27,0.0100,2016-09-29
