年份,权益登记日,除息日,每份分红,分红发放日
2019年,2019-07-01,2019-07-01,0.0300,2019-07-02
2018年,2018-01-03,2018-01-03,0.0300,2018-01-04
2017年,2017-07-03,2017-07-03,0.0300,2017-07-04
2016年,2016-07-05,2016-07-05,0.0300,2016-07-06
2015年,2015-12-28,2015-12-28,0.0350,2015-12-29
2015年,2015-07-06,2015-07-06,0.0350,2015-07-07
2015年,2015-01-06,2015-01-06,0.0300,2015-01-07
2014年,2014-07-02,2014-07-02,0.0300,2014-07-03
2013年,2013-12-25,2013-12-25,0.0300,2013-12-26
2013年,2013-07-02,2013-07-02,0.0300,2013-07-03
2012年,2012-12-25,2012-12-25,0.0300,2012-12-26
2012年,2012-07-03,2012-07-03,0.0300,2012-07-04
2011年,2011-07-05,2011-07-05,0.0300,2011-07-06
2010年,2010-12-22,2010-12-22,0.0300,2010-12-23
2010年,2010-07-05,2010-07-05,0.0300,2010-07-06
2009年,2009-12-23,2009-12-23,0.0300,2009-12-24
2009年,2009-07-03,2009-07-03,0.0300,2009-07-06
2008年,2008-12-15,2008-12-16,0.0300,2008-12-17
