年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-02-14,2020-02-14,0.0550,2020-02-17
2019年,2019-01-15,2019-01-15,0.0450,2019-01-16
2017年,2017-12-13,2017-12-13,0.0500,2017-12-14
2016年,2016-12-28,2016-12-28,0.0600,2016-12-29
2015年,2015-07-01,2015-07-01,0.0350,2015-07-02
2015年,2015-04-01,2015-04-01,0.0400,2015-04-02
2015年,2015-01-05,2015-01-05,0.0300,2015-01-06
2014年,2014-10-08,2014-10-08,0.0120,2014-10-09
2014年,2014-07-01,2014-07-01,0.0150,2014-07-02
2013年,2013-06-26,2013-06-26,0.0350,2013-06-27
2012年,2012-12-26,2012-12-26,0.0200,2012-12-27
2012年,2012-06-29,2012-06-29,0.0200,2012-07-02
2012年,2012-03-30,2012-03-30,0.0200,2012-04-05
2011年,2011-06-29,2011-06-29,0.0200,2011-06-30
2011年,2011-01-06,2011-01-06,0.0400,2011-01-07
2010年,2010-01-05,2010-01-05,0.0400,2010-01-06
2008年,2008-11-14,2008-11-14,0.0800,2008-11-17
2007年,2007-07-06,2007-07-09,0.0800,2007-07-10
2007年,2007-03-12,2007-03-13,0.0450,2007-03-14
