年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-04-27,2020-04-27,0.1562,2020-04-29
2017年,2017-01-10,2017-01-10,0.0132,2017-01-12
2016年,2016-04-29,2016-04-29,0.0400,2016-05-04
2016年,2016-03-25,2016-03-25,0.2400,2016-03-29
2015年,2015-01-16,2015-01-16,0.0073,2015-01-20
2011年,2011-02-22,2011-02-22,0.0250,2011-02-24
2011年,2011-02-17,2011-02-17,0.0350,2011-02-21
2011年,2011-02-11,2011-02-11,0.0400,2011-02-15
2011年,2011-01-24,2011-01-24,0.1360,2011-01-26
2010年,2010-01-18,2010-01-18,0.4500,2010-01-19
2009年,2009-11-02,2009-11-02,0.1500,2009-11-03
2009年,2009-02-09,2009-02-09,0.0800,2009-02-10
2008年,2008-06-03,2008-06-03,0.0600,2008-06-04
2006年,2006-12-15,2006-12-15,0.5900,2006-12-18
2006年,2006-05-11,2006-05-11,0.0300,2006-05-12
