年份,权益登记日,除息日,每份分红,分红发放日
2018年,2018-03-21,2018-03-21,0.0300,2018-03-22
2017年,2017-12-04,2017-12-04,0.0300,2017-12-05
2017年,2017-09-12,2017-09-12,0.0300,2017-09-13
2017年,2017-06-12,2017-06-12,0.0300,2017-06-13
2017年,2017-02-28,2017-02-28,0.0300,2017-03-01
2016年,2016-12-06,2016-12-06,0.0300,2016-12-07
2016年,2016-09-06,2016-09-06,0.0300,2016-09-07
2016年,2016-06-06,2016-06-06,0.0300,2016-06-07
2016年,2016-03-11,2016-03-11,0.0300,2016-03-14
2015年,2015-12-07,2015-12-07,0.0200,2015-12-08
2015年,2015-01-08,2015-01-08,0.0200,2015-01-09
2012年,2012-12-06,2012-12-06,0.0100,2012-12-07
