年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-14,2021-01-14,0.1262,2021-01-15
2020年,2020-10-20,2020-10-20,0.0001,2020-10-21
2020年,2020-07-10,2020-07-10,0.0345,2020-07-13
2020年,2020-01-10,2020-01-10,0.0340,2020-01-13
2019年,2019-10-17,2019-10-17,0.0001,2019-10-18
2019年,2019-04-15,2019-04-15,0.0325,2019-04-16
2018年,2018-04-12,2018-04-12,0.0536,2018-04-13
2018年,2018-01-15,2018-01-15,0.0097,2018-01-16
2017年,2017-10-20,2017-10-20,0.0001,2017-10-23
2017年,2017-07-13,2017-07-13,0.0001,2017-07-14
2016年,2016-01-19,2016-01-19,0.0005,2016-01-20
2015年,2015-12-21,2015-12-21,0.3000,2015-12-22
2015年,2015-10-26,2015-10-26,0.0005,2015-10-27
2015年,2015-07-30,2015-07-30,0.0011,2015-07-31
2011年,2011-04-20,2011-04-20,0.0100,2011-04-21
2011年,2011-01-13,2011-01-13,0.0200,2011-01-14
2010年,2010-01-22,2010-01-22,0.0300,2010-01-25
2009年,2009-08-25,2009-08-25,0.0250,2009-08-26
2009年,2009-07-17,2009-07-17,0.1100,2009-07-20
