年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-03-02,2021-03-02,0.1807,2021-03-03
2020年,2020-01-09,2020-01-09,0.0522,2020-01-10
2018年,2018-01-11,2018-01-11,0.0468,2018-01-12
2017年,2017-01-19,2017-01-19,0.0560,2017-01-20
2016年,2016-01-21,2016-01-21,0.2660,2016-01-22
2015年,2015-01-21,2015-01-21,0.0165,2015-01-22
2011年,2011-01-10,2011-01-11,0.0050,2011-01-12
2010年,2010-01-15,2010-01-18,0.0300,2010-01-19
2008年,2008-01-18,2008-01-21,0.1800,2008-01-22
2006年,2006-12-18,2006-12-19,0.6900,2006-12-20
2006年,2006-11-09,2006-11-10,0.1000,2006-11-13
2006年,2006-08-18,2006-08-21,0.0500,2006-08-22
2006年,2006-04-21,2006-04-24,0.0200,2006-04-25
2006年,2006-02-16,2006-02-17,0.0300,2006-02-20
