年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-20,2021-01-20,0.2500,2021-01-21
2014年,2014-01-16,2014-01-16,0.0250,2014-01-17
2011年,2011-10-26,2011-10-26,0.1510,2011-10-27
2011年,2011-01-13,2011-01-13,0.0100,2011-01-14
2010年,2010-11-29,2010-11-29,0.0400,2010-11-30
2010年,2010-01-14,2010-01-14,0.0540,2010-01-15
2009年,2009-12-11,2009-12-11,0.0200,2009-12-14
2009年,2009-11-05,2009-11-05,0.0500,2009-11-06
2008年,2008-12-30,2008-12-30,0.1600,2008-12-31
2008年,2008-05-21,2008-05-21,0.2000,2008-05-22
2006年,2006-12-11,2006-12-11,0.0700,2006-12-12
2006年,2006-06-12,2006-06-12,0.0500,2006-06-13
2006年,2006-04-25,2006-04-25,0.0300,2006-04-26
