年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-03-26,2021-03-26,0.0100,2021-03-29
2021年,2021-03-18,2021-03-18,0.0100,2021-03-19
2021年,2021-03-10,2021-03-10,0.0200,2021-03-11
2021年,2021-03-02,2021-03-02,0.0200,2021-03-03
2021年,2021-02-22,2021-02-22,0.0200,2021-02-23
2021年,2021-02-05,2021-02-05,0.0200,2021-02-08
2021年,2021-01-28,2021-01-28,0.0200,2021-01-29
2021年,2021-01-20,2021-01-20,0.0200,2021-01-21
2021年,2021-01-12,2021-01-12,0.0200,2021-01-13
2020年,2020-04-28,2020-04-28,0.0100,2020-04-29
2020年,2020-04-01,2020-04-01,0.0100,2020-04-02
2020年,2020-03-24,2020-03-24,0.0100,2020-03-25
2020年,2020-03-16,2020-03-16,0.0300,2020-03-17
2020年,2020-03-06,2020-03-06,0.0500,2020-03-09
2020年,2020-02-26,2020-02-26,0.0400,2020-02-27
2020年,2020-02-17,2020-02-17,0.0300,2020-02-18
2020年,2020-02-06,2020-02-06,0.0100,2020-02-07
2020年,2020-01-20,2020-01-20,0.0300,2020-01-21
2020年,2020-01-10,2020-01-10,0.0300,2020-01-13
2019年,2019-12-16,2019-12-16,0.0310,2019-12-17
2019年,2019-11-27,2019-11-27,0.0300,2019-11-28
2019年,2019-11-18,2019-11-18,0.0010,2019-11-19
2019年,2019-11-07,2019-11-07,0.0010,2019-11-08
2019年,2019-10-18,2019-10-18,0.0010,2019-10-21
2019年,2019-10-09,2019-10-09,0.0010,2019-10-10
2019年,2019-09-23,2019-09-23,0.0010,2019-09-24
2019年,2019-09-11,2019-09-11,0.0100,2019-09-12
2017年,2017-10-20,2017-10-20,0.0100,2017-10-23
2017年,2017-09-29,2017-09-29,0.0100,2017-10-09
2017年,2017-09-18,2017-09-18,0.0010,2017-09-19
2017年,2017-04-10,2017-04-10,0.0100,2017-04-11
2017年,2017-03-17,2017-03-17,0.0100,2017-03-20
2017年,2017-01-16,2017-01-16,0.0100,2017-01-17
2016年,2016-06-15,2016-06-15,0.0100,2016-06-16
2016年,2016-05-31,2016-05-31,0.0100,2016-06-01
2016年,2016-05-18,2016-05-18,0.0100,2016-05-19
2016年,2016-05-05,2016-05-05,0.0100,2016-05-06
2016年,2016-04-21,2016-04-21,0.0100,2016-04-22
2016年,2016-04-08,2016-04-08,0.0100,2016-04-11
2016年,2016-03-25,2016-03-25,0.0100,2016-03-28
2016年,2016-03-14,2016-03-14,0.0100,2016-03-15
2016年,2016-03-01,2016-03-01,0.0100,2016-03-02
2016年,2016-02-17,2016-02-17,0.0100,2016-02-18
2016年,2016-01-28,2016-01-28,0.0100,2016-01-29
2016年,2016-01-15,2016-01-15,0.0100,2016-01-18
2015年,2015-06-15,2015-06-15,0.2500,2015-06-16
2015年,2015-06-02,2015-06-02,0.0100,2015-06-03
2015年,2015-05-20,2015-05-20,0.0100,2015-05-21
2015年,2015-05-07,2015-05-07,0.0100,2015-05-08
2015年,2015-04-23,2015-04-23,0.0100,2015-04-24
2015年,2015-04-10,2015-04-10,0.0100,2015-04-13
2015年,2015-03-27,2015-03-27,0.0100,2015-03-30
2015年,2015-03-16,2015-03-16,0.0100,2015-03-17
2015年,2015-03-03,2015-03-03,0.0200,2015-03-04
2015年,2015-02-11,2015-02-11,0.0200,2015-02-12
2015年,2015-01-29,2015-01-29,0.0200,2015-01-30
2015年,2015-01-16,2015-01-16,0.0600,2015-01-19
2014年,2014-10-27,2014-10-27,0.0100,2014-10-28
2014年,2014-10-14,2014-10-14,0.0300,2014-10-15
2014年,2014-09-24,2014-09-24,0.0300,2014-09-25
2014年,2014-09-11,2014-09-11,0.0100,2014-09-12
2014年,2014-09-01,2014-09-01,0.0050,2014-09-02
2014年,2014-08-20,2014-08-20,0.0100,2014-08-21
2014年,2014-08-08,2014-08-08,0.0200,2014-08-11
2014年,2014-07-15,2014-07-15,0.0200,2014-07-16
2014年,2014-03-24,2014-03-24,0.0200,2014-03-25
2014年,2014-03-11,2014-03-11,0.0500,2014-03-12
2014年,2014-02-26,2014-02-26,0.0200,2014-02-27
2014年,2014-02-13,2014-02-13,0.0200,2014-02-14
2013年,2013-12-10,2013-12-10,0.0150,2013-12-11
2013年,2013-10-30,2013-10-30,0.0180,2013-10-31
2013年,2013-10-17,2013-10-17,0.0120,2013-10-18
