年份,权益登记日,除息日,每份分红,分红发放日
2018年,2018-06-14,2018-06-14,0.0460,2018-06-15
2017年,2017-09-25,2017-09-25,0.1958,2017-09-26
2016年,2016-03-25,2016-03-25,0.2880,2016-03-28
2016年,2016-01-19,2016-01-19,0.2500,2016-01-20
2015年,2015-09-25,2015-09-25,0.0050,2015-09-28
2015年,2015-01-23,2015-01-23,0.1330,2015-01-26
2014年,2014-07-17,2014-07-17,0.0030,2014-07-18
2011年,2011-01-19,2011-01-19,0.0020,2011-01-20
2010年,2010-12-15,2010-12-15,0.0600,2010-12-16
2010年,2010-01-15,2010-01-15,0.0690,2010-01-18
2008年,2008-03-28,2008-03-28,1.9600,2008-03-31
2008年,2008-01-02,2008-01-02,0.1500,2008-01-03
2007年,2007-03-29,2007-03-29,0.5600,2007-03-30
2006年,2006-09-01,2006-09-01,0.1000,2006-09-04
2006年,2006-01-17,2006-01-17,0.0330,2006-01-18
2004年,2004-04-09,2004-04-09,0.0400,2004-04-12
2004年,2004-01-29,2004-01-29,0.0300,2004-01-30
