年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-18,2021-01-18,0.0040,2021-01-20
2020年,2020-10-21,2020-10-21,0.0080,2020-10-23
2020年,2020-07-10,2020-07-10,0.0080,2020-07-14
2020年,2020-04-14,2020-04-14,0.0080,2020-04-16
2020年,2020-01-14,2020-01-14,0.0080,2020-01-16
2019年,2019-10-18,2019-10-18,0.0090,2019-10-22
2019年,2019-07-08,2019-07-08,0.0090,2019-07-10
2019年,2019-04-16,2019-04-16,0.0080,2019-04-18
2019年,2019-01-15,2019-01-15,0.0090,2019-01-17
2018年,2018-10-19,2018-10-19,0.0090,2018-10-23
2018年,2018-07-13,2018-07-13,0.0080,2018-07-17
2018年,2018-04-17,2018-04-17,0.0060,2018-04-19
2017年,2017-07-18,2017-07-18,0.0060,2017-07-20
