年份,权益登记日,除息日,每份分红,分红发放日
2015年,2015-01-14,2015-01-14,0.1020,2015-01-16
2013年,2013-01-16,2013-01-16,0.0130,2013-01-18
2011年,2011-01-20,2011-01-20,0.0720,2011-01-24
2010年,2010-01-19,2010-01-19,0.0660,2010-01-21
2008年,2008-12-15,2008-12-15,0.0700,2008-12-17
2007年,2007-07-27,2007-07-27,0.0058,2007-07-31
2007年,2007-03-26,2007-03-26,0.0032,2007-03-28
2007年,2007-01-25,2007-01-25,0.0017,2007-01-29
2006年,2006-12-25,2006-12-25,0.0015,2006-12-27
2006年,2006-11-24,2006-11-24,0.0017,2006-11-28
2006年,2006-10-25,2006-10-25,0.0015,2006-10-27
2006年,2006-09-25,2006-09-25,0.0021,2006-09-27
2006年,2006-08-25,2006-08-25,0.0014,2006-08-29
2006年,2006-07-25,2006-07-25,0.0016,2006-07-27
2006年,2006-06-26,2006-06-26,0.0019,2006-06-28
2006年,2006-05-25,2006-05-25,0.0017,2006-05-29
2006年,2006-04-24,2006-04-24,0.0019,2006-04-26
2006年,2006-03-23,2006-03-23,0.0017,2006-03-27
2006年,2006-02-22,2006-02-22,0.0018,2006-02-24
2006年,2006-01-19,2006-01-19,0.0016,2006-01-23
2005年,2005-12-26,2005-12-26,0.0020,2005-12-28
2005年,2005-11-24,2005-11-24,0.0016,2005-11-28
2005年,2005-10-25,2005-10-25,0.0020,2005-10-27
2005年,2005-09-26,2005-09-26,0.0013,2005-09-28
