年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-16,2020-12-16,0.0080,2020-12-17
2020年,2020-09-09,2020-09-09,0.0240,2020-09-10
2020年,2020-06-05,2020-06-05,0.0080,2020-06-08
2020年,2020-03-11,2020-03-11,0.0120,2020-03-12
2017年,2017-12-28,2017-12-28,0.0110,2017-12-29
2017年,2017-09-28,2017-09-28,0.0100,2017-09-29
2017年,2017-06-28,2017-06-28,0.0015,2017-06-29
2017年,2017-03-30,2017-03-30,0.0172,2017-03-31
2016年,2016-12-30,2016-12-30,0.0200,2017-01-03
2016年,2016-09-29,2016-09-29,0.0225,2016-09-30
2016年,2016-06-30,2016-06-30,0.0180,2016-07-01
2015年,2015-12-31,2015-12-31,0.0049,2016-01-04
2015年,2015-09-30,2015-09-30,0.0120,2015-10-08
2015年,2015-06-30,2015-06-30,0.0650,2015-07-01
2015年,2015-03-31,2015-03-31,0.0500,2015-04-01
2014年,2014-12-29,2014-12-29,0.0500,2014-12-30
2014年,2014-09-30,2014-09-30,0.0200,2014-10-08
2014年,2014-06-30,2014-06-30,0.0120,2014-07-01
2013年,2013-09-30,2013-09-30,0.0250,2013-10-08
2013年,2013-06-26,2013-06-26,0.0200,2013-06-27
2013年,2013-03-29,2013-03-29,0.0150,2013-04-01
2012年,2012-12-26,2012-12-26,0.0150,2012-12-27
