年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-01,2020-12-01,0.0630,2020-12-02
2019年,2019-11-28,2019-11-28,0.0620,2019-11-29
2018年,2018-12-24,2018-12-24,0.0650,2018-12-25
2018年,2018-11-28,2018-11-28,0.0680,2018-11-29
2018年,2018-10-31,2018-10-31,0.0650,2018-11-01
2017年,2017-12-25,2017-12-25,0.0100,2017-12-26
2016年,2016-01-13,2016-01-13,0.0300,2016-01-14
2015年,2015-01-16,2015-01-16,0.0500,2015-01-19
2014年,2014-01-16,2014-01-16,0.0100,2014-01-17
2013年,2013-01-18,2013-01-18,0.0400,2013-01-21
2011年,2011-01-17,2011-01-17,0.0200,2011-01-18
2010年,2010-01-14,2010-01-14,0.0400,2010-01-15
2009年,2009-04-22,2009-04-22,0.0300,2009-04-23
2008年,2008-12-17,2008-12-17,0.0200,2008-12-18
2008年,2008-03-25,2008-03-25,0.1300,2008-03-26
2007年,2007-09-12,2007-09-12,0.1000,2007-09-13
2006年,2006-12-20,2006-12-20,0.0150,2006-12-21
2006年,2006-09-19,2006-09-19,0.0100,2006-09-20
2006年,2006-06-08,2006-06-08,0.0450,2006-06-09
2006年,2006-04-12,2006-04-12,0.0200,2006-04-13
2005年,2005-10-27,2005-10-27,0.0300,2005-10-28
2004年,2004-09-09,2004-09-09,0.0200,2004-09-10
2004年,2004-03-30,2004-03-30,0.0200,2004-03-31
2003年,2003-12-29,2003-12-29,0.0100,2003-12-30
