年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-12,2021-01-12,0.0100,2021-01-13
2019年,2019-12-12,2019-12-12,0.2100,2019-12-13
2018年,2018-09-06,2018-09-06,0.1802,2018-09-07
2018年,2018-06-27,2018-06-27,0.2157,2018-06-28
2018年,2018-01-19,2018-01-19,0.0100,2018-01-22
2016年,2016-01-13,2016-01-13,0.0300,2016-01-14
2015年,2015-01-14,2015-01-14,0.0300,2015-01-15
2014年,2014-01-09,2014-01-09,0.0300,2014-01-10
2013年,2013-01-21,2013-01-21,0.0100,2013-01-22
2011年,2011-01-12,2011-01-12,0.0100,2011-01-13
2010年,2010-08-12,2010-08-12,0.0100,2010-08-13
2009年,2009-12-25,2009-12-25,0.0200,2009-12-28
2008年,2008-04-28,2008-04-28,0.0800,2008-04-29
2007年,2007-01-22,2007-01-22,0.5000,2007-01-23
2006年,2006-04-13,2006-04-13,0.0400,2006-04-14
2005年,2005-10-25,2005-10-25,0.0200,2005-10-26
2005年,2005-05-26,2005-05-26,0.0400,2005-05-27
2004年,2004-11-19,2004-11-19,0.0600,2004-11-22
2004年,2004-03-19,2004-03-19,0.0200,2004-03-22
