年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-12,2021-01-12,0.0130,2021-01-13
2020年,2020-12-21,2020-12-21,0.0390,2020-12-22
2020年,2020-01-14,2020-01-14,0.0480,2020-01-15
2019年,2019-12-26,2019-12-26,0.0550,2019-12-27
2019年,2019-01-29,2019-01-29,0.0280,2019-01-30
2019年,2019-01-15,2019-01-15,0.0270,2019-01-16
2018年,2018-01-12,2018-01-12,0.0650,2018-01-15
2017年,2017-01-12,2017-01-12,0.0950,2017-01-13
2016年,2016-01-04,2016-01-04,0.2000,2016-01-05
2015年,2015-01-20,2015-01-20,0.1000,2015-01-21
2013年,2013-12-23,2013-12-23,0.0760,2013-12-24
2013年,2013-01-21,2013-01-21,0.0650,2013-01-22
2010年,2010-12-22,2010-12-22,0.0800,2010-12-23
2010年,2010-05-19,2010-05-19,0.0320,2010-05-20
2009年,2009-12-24,2009-12-24,0.0050,2009-12-25
2009年,2009-02-16,2009-02-16,0.0170,2009-02-17
2008年,2008-12-16,2008-12-16,0.0380,2008-12-17
2008年,2008-04-23,2008-04-23,0.0050,2008-04-24
2007年,2007-05-25,2007-05-25,0.0022,2007-05-28
2007年,2007-03-05,2007-03-05,0.0017,2007-03-06
2007年,2007-01-30,2007-01-30,0.0020,2007-01-31
2006年,2006-12-26,2006-12-26,0.0012,2006-12-27
2006年,2006-12-01,2006-12-01,0.0017,2006-12-04
2006年,2006-10-31,2006-10-31,0.0014,2006-11-01
2006年,2006-09-26,2006-09-26,0.0006,2006-09-27
2006年,2006-09-07,2006-09-07,0.0015,2006-09-08
2006年,2006-08-01,2006-08-01,0.0006,2006-08-02
2006年,2006-06-27,2006-06-27,0.0005,2006-06-28
2006年,2006-05-26,2006-05-26,0.0013,2006-05-29
2006年,2006-04-25,2006-04-25,0.0022,2006-04-26
2006年,2006-03-28,2006-03-28,0.0022,2006-03-29
2006年,2006-02-23,2006-02-23,0.0018,2006-02-24
2006年,2006-01-20,2006-01-20,0.0014,2006-01-23
2005年,2005-12-27,2005-12-27,0.0020,2005-12-28
2005年,2005-11-25,2005-11-25,0.0020,2005-11-28
2005年,2005-10-25,2005-10-25,0.0020,2005-10-26
