年份,权益登记日,除息日,每份分红,分红发放日
2019年,2019-11-13,2019-11-13,0.0560,2019-11-15
2019年,2019-09-18,2019-09-18,0.0590,2019-09-20
2019年,2019-06-26,2019-06-26,0.0570,2019-06-28
2018年,2018-12-07,2018-12-07,0.0480,2018-12-11
2018年,2018-11-12,2018-11-12,0.0500,2018-11-14
2017年,2017-03-28,2017-03-28,0.1720,2017-03-30
2015年,2015-04-14,2015-04-14,0.0600,2015-04-16
2015年,2015-01-20,2015-01-20,0.0300,2015-01-22
2014年,2014-10-21,2014-10-21,0.0250,2014-10-23
2014年,2014-07-09,2014-07-09,0.0260,2014-07-11
2013年,2013-12-13,2013-12-13,0.0300,2013-12-17
2013年,2013-06-20,2013-06-20,0.0400,2013-06-24
2013年,2013-01-14,2013-01-14,0.0100,2013-01-16
