年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-08,2020-12-08,0.0050,2020-12-10
2020年,2020-11-11,2020-11-11,0.0060,2020-11-13
2020年,2020-10-16,2020-10-16,0.0060,2020-10-20
2020年,2020-09-09,2020-09-09,0.0130,2020-09-11
2020年,2020-08-11,2020-08-11,0.0200,2020-08-13
2020年,2020-06-08,2020-06-08,0.0030,2020-06-10
2020年,2020-05-13,2020-05-13,0.0100,2020-05-15
2020年,2020-04-09,2020-04-09,0.0090,2020-04-13
2017年,2017-09-08,2017-09-08,0.0050,2017-09-12
2017年,2017-08-08,2017-08-08,0.0050,2017-08-10
2017年,2017-07-10,2017-07-10,0.0090,2017-07-12
2017年,2017-03-08,2017-03-08,0.0040,2017-03-10
2017年,2017-01-10,2017-01-10,0.0040,2017-01-12
2016年,2016-12-09,2016-12-09,0.0060,2016-12-13
2016年,2016-10-18,2016-10-18,0.0040,2016-10-20
2016年,2016-09-08,2016-09-08,0.0040,2016-09-12
2016年,2016-08-09,2016-08-09,0.0040,2016-08-11
2016年,2016-06-08,2016-06-08,0.0040,2016-06-14
2016年,2016-05-10,2016-05-10,0.0030,2016-05-12
2016年,2016-04-12,2016-04-12,0.0060,2016-04-14
2016年,2016-03-08,2016-03-08,0.0080,2016-03-10
2016年,2016-01-12,2016-01-12,0.0050,2016-01-14
2015年,2015-12-09,2015-12-09,0.0060,2015-12-11
2015年,2015-11-09,2015-11-09,0.0050,2015-11-11
2015年,2015-10-15,2015-10-15,0.0080,2015-10-19
2015年,2015-09-11,2015-09-11,0.0200,2015-09-15
2015年,2015-08-11,2015-08-11,0.0250,2015-08-13
2015年,2015-07-09,2015-07-09,0.0250,2015-07-13
2015年,2015-06-09,2015-06-09,0.0250,2015-06-11
2015年,2015-05-12,2015-05-12,0.0160,2015-05-14
2015年,2015-04-10,2015-04-10,0.0230,2015-04-14
2015年,2015-01-13,2015-01-13,0.0240,2015-01-15
2013年,2013-11-12,2013-11-12,0.0030,2013-11-14
2013年,2013-10-16,2013-10-16,0.0040,2013-10-18
2013年,2013-09-10,2013-09-10,0.0030,2013-09-12
2013年,2013-08-13,2013-08-13,0.0020,2013-08-15
2013年,2013-07-09,2013-07-09,0.0010,2013-07-11
2013年,2013-06-14,2013-06-14,0.0050,2013-06-18
2013年,2013-05-13,2013-05-13,0.0070,2013-05-15
2013年,2013-04-11,2013-04-11,0.0060,2013-04-15
2013年,2013-03-11,2013-03-11,0.0070,2013-03-13
2013年,2013-02-18,2013-02-18,0.0070,2013-02-20
2013年,2013-01-14,2013-01-14,0.0090,2013-01-16
2012年,2012-12-11,2012-12-11,0.0050,2012-12-13
2012年,2012-11-09,2012-11-09,0.0060,2012-11-13
2012年,2012-10-17,2012-10-17,0.0060,2012-10-19
2011年,2011-08-10,2011-08-10,0.0010,2011-08-12
2011年,2011-07-12,2011-07-12,0.0050,2011-07-14
2011年,2011-06-13,2011-06-13,0.0060,2011-06-15
2011年,2011-05-12,2011-05-12,0.0070,2011-05-16
2011年,2011-04-14,2011-04-14,0.0080,2011-04-18
2011年,2011-03-10,2011-03-10,0.0070,2011-03-14
2011年,2011-02-17,2011-02-17,0.0160,2011-02-21
2011年,2011-01-12,2011-01-12,0.0160,2011-01-14
2010年,2010-12-09,2010-12-09,0.0200,2010-12-13
2010年,2010-11-09,2010-11-09,0.0160,2010-11-11
2010年,2010-10-15,2010-10-15,0.0160,2010-10-19
2010年,2010-09-08,2010-09-08,0.0090,2010-09-10
2010年,2010-08-09,2010-08-09,0.0090,2010-08-11
2010年,2010-07-08,2010-07-08,0.0090,2010-07-12
2010年,2010-06-08,2010-06-08,0.0110,2010-06-10
2010年,2010-05-11,2010-05-11,0.0120,2010-05-13
2010年,2010-04-09,2010-04-09,0.0150,2010-04-13
2010年,2010-03-08,2010-03-08,0.0100,2010-03-10
2010年,2010-02-08,2010-02-08,0.0070,2010-02-10
2010年,2010-01-11,2010-01-11,0.0080,2010-01-13
2009年,2009-12-08,2009-12-08,0.0050,2009-12-10
2009年,2009-11-09,2009-11-09,0.0060,2009-11-11
2009年,2009-10-16,2009-10-16,0.0080,2009-10-20
2009年,2009-09-08,2009-09-08,0.0090,2009-09-10
2009年,2009-08-10,2009-08-10,0.0070,2009-08-12
2009年,2009-07-07,2009-07-07,0.0090,2009-07-09
2009年,2009-06-08,2009-06-08,0.0080,2009-06-10
2009年,2009-05-08,2009-05-08,0.0070,2009-05-12
2009年,2009-04-08,2009-04-08,0.0080,2009-04-10
2009年,2009-03-09,2009-03-09,0.0040,2009-03-11
2009年,2009-02-09,2009-02-09,0.0045,2009-02-11
2008年,2008-12-29,2008-12-29,0.0040,2008-12-31
