年份,权益登记日,除息日,每份分红,分红发放日
2019年,2019-12-25,2019-12-25,0.0700,2019-12-27
2018年,2018-11-09,2018-11-09,0.0330,2018-11-13
2016年,2016-12-14,2016-12-14,0.0100,2016-12-16
2016年,2016-11-14,2016-11-14,0.0060,2016-11-16
2016年,2016-10-21,2016-10-21,0.0070,2016-10-25
2016年,2016-01-15,2016-01-15,0.0060,2016-01-19
2015年,2015-12-14,2015-12-14,0.0060,2015-12-16
2015年,2015-11-13,2015-11-13,0.0070,2015-11-17
2015年,2015-10-20,2015-10-20,0.0050,2015-10-22
2015年,2015-09-15,2015-09-15,0.0040,2015-09-17
2015年,2015-08-14,2015-08-14,0.0200,2015-08-18
2015年,2015-07-14,2015-07-14,0.0060,2015-07-16
2015年,2015-06-12,2015-06-12,0.0150,2015-06-16
2015年,2015-05-15,2015-05-15,0.0150,2015-05-19
2015年,2015-04-15,2015-04-15,0.0300,2015-04-17
2015年,2015-03-13,2015-03-13,0.0200,2015-03-17
2015年,2015-02-12,2015-02-12,0.0300,2015-02-16
2015年,2015-01-16,2015-01-16,0.0800,2015-01-20
2014年,2014-12-12,2014-12-12,0.0300,2014-12-16
2014年,2014-11-13,2014-11-13,0.0150,2014-11-17
2014年,2014-10-21,2014-10-21,0.0130,2014-10-23
2014年,2014-09-15,2014-09-15,0.0020,2014-09-17
2014年,2014-08-12,2014-08-12,0.0170,2014-08-14
2013年,2013-10-17,2013-10-17,0.0030,2013-10-21
2013年,2013-09-11,2013-09-11,0.0030,2013-09-13
2013年,2013-08-12,2013-08-12,0.0030,2013-08-14
2013年,2013-07-10,2013-07-10,0.0100,2013-07-12
2013年,2013-06-17,2013-06-17,0.0100,2013-06-19
2013年,2013-05-13,2013-05-13,0.0150,2013-05-15
2013年,2013-04-12,2013-04-12,0.0100,2013-04-16
2013年,2013-03-12,2013-03-12,0.0200,2013-03-14
2013年,2013-02-19,2013-02-19,0.0100,2013-02-21
2013年,2013-01-15,2013-01-15,0.0050,2013-01-17
2012年,2012-12-12,2012-12-12,0.0050,2012-12-14
2012年,2012-11-12,2012-11-12,0.0050,2012-11-14
2012年,2012-10-17,2012-10-17,0.0040,2012-10-19
2012年,2012-09-12,2012-09-12,0.0040,2012-09-14
2012年,2012-08-10,2012-08-10,0.0100,2012-08-14
2012年,2012-07-11,2012-07-11,0.0080,2012-07-13
2012年,2012-06-12,2012-06-12,0.0100,2012-06-14
2012年,2012-05-11,2012-05-11,0.0100,2012-05-15
2012年,2012-04-17,2012-04-17,0.0100,2012-04-19
