年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-03-15,2021-03-15,0.0250,2021-03-16
2020年,2020-12-07,2020-12-07,0.1660,2020-12-08
2019年,2019-04-24,2019-04-24,0.1965,2019-04-25
2018年,2018-05-28,2018-05-28,0.0600,2018-05-29
2017年,2017-06-26,2017-06-26,0.1866,2017-06-27
2016年,2016-03-28,2016-03-28,0.6693,2016-03-29
2015年,2015-03-20,2015-03-20,0.1103,2015-03-23
2014年,2014-01-08,2014-01-08,0.0110,2014-01-09
2011年,2011-03-24,2011-03-24,0.0600,2011-03-25
2010年,2010-02-26,2010-03-01,0.1000,2010-03-02
2009年,2009-04-23,2009-04-24,0.2500,2009-04-27
2008年,2008-12-24,2008-12-25,0.2000,2008-12-26
2007年,2007-01-29,2007-01-30,0.1100,2007-01-31
2007年,2007-01-19,2007-01-22,0.3000,2007-01-23
2007年,2007-01-15,2007-01-16,0.3000,2007-01-17
