年份,权益登记日,除息日,每份分红,分红发放日
2013年,2013-01-15,2013-01-15,0.0015,2013-01-16
2010年,2010-01-15,2010-01-18,0.0350,2010-01-19
2009年,2009-07-22,2009-07-23,0.0200,2009-07-24
2008年,2008-03-10,2008-03-11,0.0360,2008-03-12
2007年,2007-12-03,2007-12-04,0.1500,2007-12-05
2007年,2007-09-06,2007-09-07,0.1500,2007-09-10
2007年,2007-06-01,2007-06-04,0.1600,2007-06-05
2007年,2007-03-08,2007-03-09,0.0800,2007-03-12
2006年,2006-12-18,2006-12-19,0.0880,2006-12-20
2006年,2006-11-14,2006-11-15,0.0450,2006-11-16
2006年,2006-05-16,2006-05-17,0.0170,2006-05-18
2005年,2005-04-15,2005-04-18,0.0100,2005-04-19
