年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-14,2021-01-14,0.1910,2021-01-18
2020年,2020-07-24,2020-07-24,0.3230,2020-07-28
2020年,2020-01-14,2020-01-14,0.0360,2020-01-16
2019年,2019-07-11,2019-07-11,0.0100,2019-07-15
2018年,2018-01-15,2018-01-15,0.0010,2018-01-17
2017年,2017-07-14,2017-07-14,0.0160,2017-07-18
2017年,2017-01-19,2017-01-19,0.0560,2017-01-23
2016年,2016-07-12,2016-07-12,0.0850,2016-07-14
2016年,2016-01-13,2016-01-13,0.2473,2016-01-15
2015年,2015-10-08,2015-10-08,0.2000,2015-10-12
2014年,2014-11-11,2014-11-11,0.0800,2014-11-13
2014年,2014-07-04,2014-07-04,0.0400,2014-07-08
2013年,2013-10-25,2013-10-25,0.0800,2013-10-29
2011年,2011-03-22,2011-03-22,0.0300,2011-03-24
2010年,2010-11-23,2010-11-23,0.1000,2010-11-25
