年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-25,2020-12-25,0.0125,2020-12-28
2020年,2020-08-17,2020-08-17,0.0100,2020-08-18
2020年,2020-03-05,2020-03-05,0.0374,2020-03-06
2019年,2019-10-24,2019-10-24,0.0078,2019-10-25
2019年,2019-05-21,2019-05-21,0.0060,2019-05-22
2018年,2018-09-21,2018-09-21,0.0190,2018-09-25
2018年,2018-06-21,2018-06-21,0.0125,2018-06-22
2018年,2018-03-23,2018-03-23,0.0100,2018-03-26
2017年,2017-12-27,2017-12-27,0.0020,2017-12-28
2017年,2017-09-20,2017-09-20,0.0050,2017-09-21
2017年,2017-06-23,2017-06-23,0.0030,2017-06-26
2017年,2017-03-29,2017-03-29,0.0020,2017-03-30
