年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-14,2021-01-14,0.0460,2021-01-15
2018年,2018-01-15,2018-01-15,0.0313,2018-01-16
2016年,2016-11-29,2016-11-29,0.0840,2016-11-30
2015年,2015-12-15,2015-12-15,0.1500,2015-12-16
2014年,2014-11-18,2014-11-18,0.0500,2014-11-19
2013年,2013-11-28,2013-11-28,0.0720,2013-11-29
2012年,2012-11-15,2012-11-15,0.0450,2012-11-16
2011年,2011-11-28,2011-11-28,0.0450,2011-11-29
2010年,2010-11-04,2010-11-04,0.0850,2010-11-05
2009年,2009-11-06,2009-11-06,0.0950,2009-11-09
2008年,2008-11-04,2008-11-04,0.0800,2008-11-05
2007年,2007-12-24,2007-12-24,0.0200,2007-12-25
