年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-07-13,2020-07-13,0.0120,2020-07-15
2020年,2020-04-17,2020-04-17,0.0140,2020-04-21
2020年,2020-01-13,2020-01-13,0.0140,2020-01-15
2019年,2019-10-21,2019-10-21,0.0130,2019-10-23
2019年,2019-07-16,2019-07-16,0.0130,2019-07-18
2019年,2019-04-18,2019-04-18,0.0120,2019-04-22
2019年,2019-01-16,2019-01-16,0.0160,2019-01-18
2018年,2018-10-17,2018-10-17,0.0200,2018-10-19
2018年,2018-07-17,2018-07-17,0.0120,2018-07-19
2018年,2018-04-13,2018-04-13,0.0120,2018-04-17
2017年,2017-07-18,2017-07-18,0.0190,2017-07-20
2016年,2016-10-26,2016-10-26,0.0637,2016-10-28
2016年,2016-07-15,2016-07-15,0.0300,2016-07-19
2016年,2016-01-20,2016-01-20,0.0280,2016-01-22
2015年,2015-10-22,2015-10-22,0.0200,2015-10-26
2015年,2015-07-16,2015-07-16,0.0310,2015-07-20
2014年,2014-10-30,2014-10-30,0.0070,2014-11-03
2014年,2014-10-08,2014-10-08,0.0030,2014-10-10
2014年,2014-09-05,2014-09-05,0.0120,2014-09-10
2014年,2014-07-08,2014-07-08,0.0020,2014-07-10
2014年,2014-06-09,2014-06-09,0.0160,2014-06-11
2013年,2013-07-03,2013-07-03,0.0030,2013-07-05
2013年,2013-05-31,2013-05-31,0.0070,2013-06-04
2013年,2013-05-08,2013-05-08,0.0090,2013-05-10
2013年,2013-04-01,2013-04-01,0.0110,2013-04-03
2013年,2013-03-04,2013-03-04,0.0080,2013-03-06
2013年,2013-01-31,2013-01-31,0.0060,2013-02-04
2013年,2013-01-04,2013-01-04,0.0060,2013-01-08
2012年,2012-11-30,2012-11-30,0.0070,2012-12-04
2012年,2012-10-25,2012-10-25,0.0060,2012-10-29
2012年,2012-09-21,2012-09-21,0.0050,2012-09-25
2012年,2012-08-16,2012-08-16,0.0050,2012-08-20
2012年,2012-07-17,2012-07-17,0.0050,2012-07-19
2012年,2012-06-25,2012-06-25,0.0040,2012-06-27
2012年,2012-05-17,2012-05-17,0.0040,2012-05-21
2012年,2012-04-20,2012-04-20,0.0020,2012-04-24
