年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-12,2021-01-12,0.0130,2021-01-14
2020年,2020-10-19,2020-10-19,0.0059,2020-10-21
2020年,2020-07-13,2020-07-13,0.0095,2020-07-15
2020年,2020-04-13,2020-04-13,0.0091,2020-04-15
2020年,2020-01-10,2020-01-10,0.0213,2020-01-14
2019年,2019-10-15,2019-10-15,0.0116,2019-10-17
2019年,2019-07-12,2019-07-12,0.0076,2019-07-16
2019年,2019-04-10,2019-04-10,0.0040,2019-04-12
2019年,2019-01-15,2019-01-15,0.0140,2019-01-17
2018年,2018-10-16,2018-10-16,0.0090,2018-10-18
2018年,2018-07-09,2018-07-09,0.0050,2018-07-11
2018年,2018-04-16,2018-04-16,0.0010,2018-04-18
2018年,2018-01-12,2018-01-12,0.0170,2018-01-16
2017年,2017-10-17,2017-10-17,0.0100,2017-10-19
2017年,2017-07-12,2017-07-12,0.0090,2017-07-14
2017年,2017-04-12,2017-04-12,0.0090,2017-04-14
2017年,2017-01-11,2017-01-11,0.0210,2017-01-13
2016年,2016-10-18,2016-10-18,0.0130,2016-10-20
2016年,2016-07-18,2016-07-18,0.0100,2016-07-20
2016年,2016-04-19,2016-04-19,0.0080,2016-04-21
2016年,2016-01-14,2016-01-14,0.0270,2016-01-18
2015年,2015-10-23,2015-10-23,0.0150,2015-10-27
2015年,2015-07-16,2015-07-16,0.0170,2015-07-20
2015年,2015-04-17,2015-04-17,0.0170,2015-04-21
2015年,2015-01-14,2015-01-14,0.0310,2015-01-16
2014年,2014-10-21,2014-10-21,0.0120,2014-10-23
2014年,2014-09-23,2014-09-23,0.0150,2014-09-25
2014年,2014-07-14,2014-07-14,0.0150,2014-07-16
2014年,2014-04-16,2014-04-16,0.0030,2014-04-18
2013年,2013-10-21,2013-10-21,0.0140,2013-10-23
2013年,2013-07-16,2013-07-16,0.0200,2013-07-18
2013年,2013-04-17,2013-04-17,0.0170,2013-04-19
2013年,2013-01-16,2013-01-16,0.0100,2013-01-18
