年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-03-24,2021-03-24,0.2600,2021-03-26
2020年,2020-03-25,2020-03-25,0.1250,2020-03-27
2018年,2018-03-23,2018-03-23,0.2600,2018-03-27
2016年,2016-01-28,2016-01-29,0.1100,2016-02-02
2007年,2007-11-06,2007-11-07,2.0548,2007-11-09
2006年,2006-07-12,2006-07-13,0.1100,2006-07-17
2006年,2006-03-27,2006-03-28,0.0200,2006-03-31
2006年,2006-02-09,2006-02-10,0.0800,2006-02-17
2006年,2006-01-04,2006-01-05,0.0200,2006-01-10
2005年,2005-08-11,2005-08-12,0.0400,2005-08-17
2005年,2005-03-30,2005-03-31,0.0200,2005-04-05
2005年,2005-03-17,2005-03-18,0.0200,2005-03-23
2005年,2005-01-19,2005-01-20,0.0200,2005-01-25
2004年,2004-10-20,2004-10-21,0.0200,2004-10-27
