年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-11-26,2020-11-26,0.0520,2020-11-27
2020年,2020-09-28,2020-09-28,0.0530,2020-09-29
2020年,2020-07-30,2020-07-30,0.0560,2020-07-31
2020年,2020-05-28,2020-05-28,0.0580,2020-05-29
2020年,2020-04-01,2020-04-01,0.0680,2020-04-02
2020年,2020-01-20,2020-01-20,0.0660,2020-01-21
2019年,2019-11-27,2019-11-27,0.0650,2019-11-28
2019年,2019-10-30,2019-10-30,0.0670,2019-10-31
2019年,2019-09-26,2019-09-26,0.0700,2019-09-27
2019年,2019-08-29,2019-08-29,0.0730,2019-08-30
2019年,2019-07-31,2019-07-31,0.0760,2019-08-01
2019年,2019-06-18,2019-06-18,0.0940,2019-06-19
