年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-03-19,2021-03-19,0.2250,2021-03-22
2020年,2020-03-04,2020-03-04,0.0837,2020-03-05
2011年,2011-03-24,2011-03-24,0.0900,2011-03-25
2010年,2010-01-19,2010-01-20,0.1700,2010-01-21
2009年,2009-04-23,2009-04-24,0.1500,2009-04-27
2008年,2008-12-24,2008-12-25,0.1000,2008-12-26
2007年,2007-08-09,2007-08-10,0.1000,2007-08-13
2006年,2006-10-12,2006-10-13,0.0150,2006-10-16
2006年,2006-07-14,2006-07-17,0.0800,2006-07-18
2006年,2006-04-05,2006-04-06,0.0200,2006-04-07
2006年,2006-01-12,2006-01-13,0.0150,2006-01-16
2005年,2005-08-17,2005-08-18,0.0100,2005-08-19
