年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-22,2021-01-22,0.0900,2021-01-26
2020年,2020-11-23,2020-11-23,0.0690,2020-11-25
2020年,2020-09-10,2020-09-10,0.0750,2020-09-14
2020年,2020-07-31,2020-07-31,0.0730,2020-08-04
2020年,2020-07-09,2020-07-09,0.1000,2020-07-13
2020年,2020-05-29,2020-05-29,0.0520,2020-06-02
2020年,2020-01-21,2020-01-21,0.0780,2020-01-23
2018年,2018-04-25,2018-04-25,0.0900,2018-04-27
2017年,2017-02-28,2017-02-28,0.0600,2017-03-02
2015年,2015-08-31,2015-08-31,0.1700,2015-09-02
2015年,2015-05-28,2015-05-28,0.2100,2015-06-01
2015年,2015-04-08,2015-04-08,0.1800,2015-04-10
2015年,2015-03-20,2015-03-20,0.0830,2015-03-24
2015年,2015-01-07,2015-01-07,0.0900,2015-01-09
2014年,2014-10-13,2014-10-13,0.0700,2014-10-15
