年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-12,2021-01-12,0.0212,2021-01-14
2020年,2020-01-10,2020-01-10,0.0033,2020-01-14
2018年,2018-01-12,2018-01-12,0.0200,2018-01-16
2016年,2016-12-26,2016-12-26,0.3710,2016-12-28
2016年,2016-01-15,2016-01-15,0.0400,2016-01-19
2015年,2015-01-15,2015-01-15,0.0440,2015-01-19
2011年,2011-01-10,2011-01-10,0.1000,2011-01-12
2009年,2009-10-29,2009-10-29,0.0400,2009-11-02
2008年,2008-06-30,2008-06-30,0.0800,2008-07-02
2007年,2007-09-24,2007-09-24,0.1600,2007-09-26
2007年,2007-02-06,2007-02-06,0.1100,2007-02-08
2006年,2006-11-07,2006-11-07,0.1600,2006-11-09
2006年,2006-01-20,2006-01-20,0.0600,2006-01-24
2005年,2005-09-19,2005-09-19,0.0320,2005-09-21
2005年,2005-06-06,2005-06-06,0.0220,2005-06-08
2004年,2004-02-24,2004-02-24,0.0300,2004-02-26
2003年,2003-12-16,2003-12-16,0.0160,2003-12-18
