年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-11,2021-01-11,0.0100,2021-01-13
2020年,2020-01-20,2020-01-20,0.0073,2020-01-22
2018年,2018-06-26,2018-06-26,0.0200,2018-06-28
2018年,2018-04-17,2018-04-17,0.0100,2018-04-19
2017年,2017-03-20,2017-03-20,0.0750,2017-03-22
2016年,2016-12-06,2016-12-06,0.1230,2016-12-08
2016年,2016-04-15,2016-04-15,0.0100,2016-04-19
2015年,2015-04-17,2015-04-17,0.0100,2015-04-21
2014年,2014-04-21,2014-04-21,0.0100,2014-04-23
2012年,2012-11-08,2012-11-08,0.1100,2012-11-12
2012年,2012-03-05,2012-03-05,0.0850,2012-03-07
2011年,2011-04-25,2011-04-25,0.1500,2011-04-27
2010年,2010-04-26,2010-04-26,0.0020,2010-04-28
2007年,2007-08-10,2007-08-10,0.1670,2007-08-13
2006年,2006-05-16,2006-05-16,0.0700,2006-05-17
2006年,2006-04-14,2006-04-14,0.0800,2006-04-17
2006年,2006-02-07,2006-02-07,0.0250,2006-02-08
2005年,2005-12-09,2005-12-09,0.0150,2005-12-12
2005年,2005-06-20,2005-06-20,0.0200,2005-06-21
2004年,2004-12-10,2004-12-10,0.0500,2004-12-13
2004年,2004-06-24,2004-06-24,0.0450,2004-06-25
2004年,2004-02-12,2004-02-12,0.0300,2004-02-13
2003年,2003-12-17,2003-12-17,0.0150,2003-12-18
