年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-09-10,2020-09-10,0.0066,2020-09-11
2020年,2020-06-19,2020-06-19,0.0090,2020-06-22
2020年,2020-03-19,2020-03-19,0.0150,2020-03-20
2019年,2019-09-17,2019-09-17,0.0095,2019-09-18
2019年,2019-06-17,2019-06-17,0.0150,2019-06-18
2019年,2019-03-18,2019-03-18,0.0130,2019-03-19
2018年,2018-12-03,2018-12-03,0.0074,2018-12-04
2018年,2018-09-12,2018-09-12,0.0096,2018-09-13
2018年,2018-06-12,2018-06-12,0.0131,2018-06-14
2018年,2018-03-13,2018-03-13,0.0103,2018-03-15
2017年,2017-12-11,2017-12-11,0.0057,2017-12-13
2017年,2017-09-12,2017-09-12,0.0089,2017-09-15
2017年,2017-06-23,2017-06-23,0.0120,2017-06-27
