年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-15,2021-01-15,0.0310,2021-01-19
2020年,2020-10-21,2020-10-21,0.0590,2020-10-23
2020年,2020-07-13,2020-07-13,0.0230,2020-07-15
2020年,2020-04-13,2020-04-13,0.0290,2020-04-15
2020年,2020-01-14,2020-01-14,0.0170,2020-01-16
2019年,2019-10-17,2019-10-17,0.0130,2019-10-21
2019年,2019-04-15,2019-04-15,0.0320,2019-04-17
2017年,2017-04-18,2017-04-18,0.0072,2017-04-20
2017年,2017-01-16,2017-01-16,0.0105,2017-01-18
2016年,2016-10-20,2016-10-20,0.0170,2016-10-24
2016年,2016-07-15,2016-07-15,0.0210,2016-07-19
2016年,2016-01-19,2016-01-19,0.0250,2016-01-21
2015年,2015-10-26,2015-10-26,0.0420,2015-10-28
2015年,2015-07-21,2015-07-21,0.0800,2015-07-23
2015年,2015-04-21,2015-04-21,0.0800,2015-04-23
2015年,2015-01-22,2015-01-22,0.0600,2015-01-26
2014年,2014-10-28,2014-10-28,0.0150,2014-10-30
2014年,2014-07-22,2014-07-22,0.0100,2014-07-24
2014年,2014-03-19,2014-03-19,0.0150,2014-03-21
