年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-24,2020-12-24,0.0490,2020-12-28
2020年,2020-11-03,2020-11-03,0.0452,2020-11-05
2020年,2020-08-13,2020-08-13,0.0492,2020-08-17
2020年,2020-06-10,2020-06-10,0.0515,2020-06-12
2020年,2020-05-06,2020-05-06,0.0575,2020-05-08
2020年,2020-03-27,2020-03-27,0.0536,2020-03-31
2019年,2019-12-05,2019-12-05,0.0551,2019-12-09
2019年,2019-11-01,2019-11-01,0.0580,2019-11-05
2019年,2019-08-30,2019-08-30,0.1250,2019-09-03
2019年,2019-06-03,2019-06-03,0.0700,2019-06-05
2019年,2019-05-06,2019-05-06,0.0750,2019-05-08
2019年,2019-03-01,2019-03-01,0.0740,2019-03-05
2018年,2018-12-26,2018-12-26,0.2360,2018-12-28
2018年,2018-06-13,2018-06-13,0.0100,2018-06-15
