年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-10-21,2020-10-21,0.1100,2020-10-23
2019年,2019-06-19,2019-06-19,0.0800,2019-06-21
2018年,2018-06-04,2018-06-04,0.0790,2018-06-06
2017年,2017-09-26,2017-09-26,0.5520,2017-09-28
2016年,2016-03-04,2016-03-04,0.2600,2016-03-08
2015年,2015-02-13,2015-02-13,0.1000,2015-02-17
2014年,2014-01-20,2014-01-20,0.0360,2014-01-22
2013年,2013-01-23,2013-01-23,0.0100,2013-01-25
2011年,2011-12-02,2011-12-02,0.3000,2011-12-06
2011年,2011-03-18,2011-03-18,0.0900,2011-03-22
2010年,2010-03-22,2010-03-22,0.0800,2010-03-24
