年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-21,2021-01-21,0.0438,2021-01-22
2020年,2020-10-19,2020-10-19,0.0330,2020-10-20
2020年,2020-07-13,2020-07-13,0.0160,2020-07-14
2020年,2020-04-10,2020-04-10,0.0061,2020-04-13
2020年,2020-01-09,2020-01-09,0.0140,2020-01-10
2019年,2019-04-11,2019-04-11,0.0056,2019-04-12
2018年,2018-04-16,2018-04-16,0.0120,2018-04-17
2018年,2018-01-11,2018-01-11,0.0200,2018-01-12
2017年,2017-10-17,2017-10-17,0.0200,2017-10-18
2017年,2017-07-11,2017-07-11,0.0130,2017-07-12
2017年,2017-04-14,2017-04-14,0.0100,2017-04-17
2016年,2016-07-12,2016-07-12,0.0200,2016-07-13
2016年,2016-04-13,2016-04-13,0.0200,2016-04-14
2016年,2016-01-14,2016-01-14,0.0600,2016-01-15
2015年,2015-10-19,2015-10-19,0.0400,2015-10-20
2015年,2015-07-09,2015-07-09,0.1100,2015-07-10
2015年,2015-04-13,2015-04-13,0.0660,2015-04-14
2015年,2015-01-14,2015-01-14,0.0250,2015-01-15
2014年,2014-10-16,2014-10-16,0.0130,2014-10-17
2014年,2014-07-18,2014-07-18,0.0130,2014-07-21
2014年,2014-04-14,2014-04-14,0.0200,2014-04-15
2014年,2014-01-10,2014-01-10,0.0150,2014-01-13
2013年,2013-10-16,2013-10-16,0.0150,2013-10-17
2013年,2013-07-10,2013-07-10,0.0100,2013-07-11
2013年,2013-04-11,2013-04-11,0.0100,2013-04-12
2011年,2011-07-14,2011-07-14,0.0120,2011-07-15
2011年,2011-04-15,2011-04-15,0.0200,2011-04-18
2011年,2011-01-14,2011-01-14,0.0200,2011-01-17
