净值日期,累计净值,单位净值,日增长率,复权净值
2020-03-05,1.0,1.0,0.0,1.0
2021-08-23,1.0353,1.0353,0.0,1.0353
2021-08-24,1.0353,1.0353,0.0,1.0353
2021-08-25,1.0355,1.0355,0.02,1.0355
2021-08-26,1.0353,1.0353,-0.02,1.0353
2021-08-27,1.0351,1.0351,-0.02,1.0351
2021-08-30,1.0351,1.0351,0.0,1.0351
2021-08-31,1.0353,1.0353,0.02,1.0353
2021-09-01,1.0354,1.0354,0.01,1.0354
2021-09-02,1.0355,1.0355,0.01,1.0355
2021-09-03,1.0356,1.0356,0.01,1.0356
2021-09-06,1.0357,1.0357,0.01,1.0357
2021-09-07,1.0358,1.0358,0.01,1.0358
2021-09-08,1.0358,1.0358,0.0,1.0358
2021-09-09,1.0358,1.0358,0.0,1.0358
2021-09-10,1.0358,1.0358,0.0,1.0358
2021-09-13,1.0358,1.0358,0.0,1.0358
2021-09-14,1.0356,1.0356,-0.02,1.0356
2021-09-15,1.0355,1.0355,-0.01,1.0355
2021-09-16,1.0354,1.0354,-0.01,1.0354
2021-09-17,1.0353,1.0353,-0.01,1.0353
2021-09-22,1.0356,1.0356,0.03,1.0356
2021-09-23,1.0355,1.0355,-0.01,1.0355
2021-09-24,1.0353,1.0353,-0.02,1.0353
2021-09-27,1.0353,1.0353,0.0,1.0353
2021-09-28,1.0351,1.0351,-0.02,1.0351
2021-09-29,1.035,1.035,-0.01,1.035
2021-09-30,1.0352,1.0352,0.02,1.0352
2021-10-08,1.0358,1.0358,0.06,1.0358
2021-10-11,1.0356,1.0356,-0.02,1.0356
2021-10-12,1.0354,1.0354,-0.02,1.0354
2021-10-13,1.0354,1.0354,0.0,1.0354
2021-10-14,1.0354,1.0354,0.0,1.0354
2021-10-15,1.0355,1.0355,0.01,1.0355
2021-10-18,1.0355,1.0355,0.0,1.0355
2021-10-19,1.0353,1.0353,-0.02,1.0353
2021-10-20,1.0355,1.0355,0.02,1.0355
2021-10-21,1.0358,1.0358,0.03,1.0358
2021-10-22,1.0361,1.0361,0.03,1.0361
2021-10-25,1.0365,1.0365,0.04,1.0365
2021-10-26,1.0368,1.0368,0.03,1.0368
2021-10-27,1.0372,1.0372,0.04,1.0372
2021-10-28,1.0376,1.0376,0.04,1.0376
2021-10-29,1.0378,1.0378,0.02,1.0378
2021-11-01,1.0382,1.0382,0.04,1.0382
2021-11-02,1.0385,1.0385,0.03,1.0385
2021-11-03,1.0389,1.0389,0.04,1.0389
2021-11-04,1.0391,1.0391,0.02,1.0391
2021-11-05,1.0395,1.0395,0.04,1.0395
2021-11-08,1.0398,1.0398,0.03,1.0398
2021-11-09,1.0398,1.0398,0.0,1.0398
2021-11-10,1.04,1.04,0.02,1.04
2021-11-11,1.04,1.04,0.0,1.04
2021-11-12,1.0401,1.0401,0.01,1.0401
2021-11-15,1.0405,1.0405,0.04,1.0405
2021-11-16,1.0407,1.0407,0.02,1.0407
2021-11-17,1.0408,1.0408,0.01,1.0408
2021-11-18,1.041,1.041,0.02,1.041
2021-11-19,1.0411,1.0411,0.01,1.0411
2021-11-22,1.0414,1.0414,0.03,1.0414
2021-11-23,1.0415,1.0415,0.01,1.0415
2021-11-24,1.0417,1.0417,0.02,1.0417
2021-11-25,1.042,1.042,0.03,1.042
2021-11-26,1.0422,1.0422,0.02,1.0422
2021-11-29,1.0426,1.0426,0.04,1.0426
2021-11-30,1.0426,1.0426,0.0,1.0426
2021-12-01,1.0429,1.0429,0.03,1.0429
2021-12-02,1.043,1.043,0.01,1.043
2021-12-03,1.0431,1.0431,0.01,1.0431
2021-12-06,1.0437,1.0437,0.06,1.0437
2021-12-07,1.0439,1.0439,0.02,1.0439
2021-12-08,1.044,1.044,0.01,1.044
2021-12-09,1.0441,1.0441,0.01,1.0441
2021-12-10,1.0442,1.0342,0.01,1.0442
2021-12-13,1.0445,1.0345,0.03,1.0445
2021-12-14,1.0445,1.0345,0.0,1.0445
2021-12-15,1.0446,1.0346,0.01,1.0446
2021-12-16,1.0446,1.0346,0.0,1.0446
2021-12-17,1.0447,1.0347,0.01,1.0447
2021-12-20,1.0447,1.0347,0.0,1.0447
2021-12-21,1.0444,1.0344,-0.03,1.0444
2021-12-22,1.0443,1.0343,-0.01,1.0443
2021-12-23,1.0445,1.0345,0.02,1.0445
2021-12-24,1.0447,1.0347,0.02,1.0447
2021-12-27,1.045,1.035,0.03,1.045
2021-12-28,1.0453,1.0353,0.03,1.0453
2021-12-29,1.0456,1.0356,0.03,1.0456
2021-12-30,1.0458,1.0358,0.02,1.0458
2021-12-31,1.0462,1.0362,0.04,1.0462
2022-01-04,1.0467,1.0367,0.05,1.0467
2022-01-05,1.0467,1.0367,0.0,1.0467
2022-01-06,1.0467,1.0367,0.0,1.0467
2022-01-07,1.0468,1.0368,0.01,1.0468
2022-01-10,1.0472,1.0372,0.04,1.0472
2022-01-11,1.0474,1.0374,0.02,1.0474
2022-01-12,1.0477,1.0377,0.03,1.0477
2022-01-13,1.0477,1.0377,0.0,1.0477
2022-01-14,1.0478,1.0378,0.01,1.0478
2022-01-17,1.0483,1.0383,0.05,1.0483
2022-01-18,1.0489,1.0389,0.06,1.0489
2022-01-19,1.0498,1.0398,0.09,1.0498
2022-01-20,1.0502,1.0402,0.04,1.0502
2022-01-21,1.0505,1.0405,0.03,1.0505
2022-01-24,1.0513,1.0413,0.08,1.0513
2022-01-25,1.0515,1.0415,0.02,1.0515
2022-01-26,1.0513,1.0413,-0.02,1.0513
2022-01-27,1.0512,1.0412,-0.01,1.0512
2022-01-28,1.0514,1.0414,0.02,1.0514
2022-02-07,1.0522,1.0422,0.08,1.0522
2022-02-08,1.0524,1.0424,0.02,1.0524
2022-02-09,1.0524,1.0424,0.0,1.0524
2022-02-10,1.0527,1.0427,0.03,1.0527
2022-02-11,1.0519,1.0419,-0.08,1.0519
2022-02-14,1.0519,1.0419,0.0,1.0519
2022-02-15,1.0517,1.0417,-0.02,1.0517
2022-02-16,1.0519,1.0419,0.02,1.0519
2022-02-17,1.0521,1.0421,0.02,1.0521
2022-02-18,1.0523,1.0423,0.02,1.0523
2022-02-21,1.0523,1.0423,0.0,1.0523
2022-02-22,1.0517,1.0417,-0.06,1.0517
2022-02-23,1.0517,1.0417,0.0,1.0517
2022-02-24,1.0518,1.0418,0.01,1.0518
2022-02-25,1.0518,1.0418,0.0,1.0518
2022-02-28,1.0522,1.0422,0.04,1.0522
2022-03-01,1.0522,1.0422,0.0,1.0522
2022-03-02,1.052,1.042,-0.02,1.052
2022-03-03,1.0513,1.0413,-0.07,1.0513
2022-03-04,1.0509,1.0409,-0.04,1.0509
2022-03-07,1.0509,1.0409,0.0,1.0509
2022-03-08,1.0507,1.0407,-0.02,1.0507
2022-03-09,1.0501,1.0401,-0.06,1.0501
2022-03-10,1.0496,1.0396,-0.05,1.0496
2022-03-11,1.0493,1.0393,-0.03,1.0493
2022-03-14,1.0503,1.0403,0.1,1.0503
2022-03-15,1.0498,1.0398,-0.05,1.0498
2022-03-16,1.0494,1.0394,-0.04,1.0494
2022-03-17,1.0494,1.0394,0.0,1.0494
2022-03-18,1.0496,1.0396,0.02,1.0496
2022-03-21,1.0499,1.0399,0.03,1.0499
2022-03-22,1.0498,1.0398,-0.01,1.0498
2022-03-23,1.0497,1.0397,-0.01,1.0497
2022-03-24,1.0498,1.0398,0.01,1.0498
2022-03-25,1.05,1.04,0.02,1.05
2022-03-28,1.0503,1.0403,0.03,1.0503
2022-03-29,1.0505,1.0405,0.02,1.0505
2022-03-30,1.0508,1.0408,0.03,1.0508
2022-03-31,1.0511,1.0411,0.03,1.0511
2022-04-01,1.0517,1.0417,0.06,1.0517
2022-04-06,1.0524,1.0424,0.07,1.0524
2022-04-07,1.0529,1.0429,0.05,1.0529
2022-04-08,1.0533,1.0433,0.04,1.0533
2022-04-11,1.0537,1.0437,0.04,1.0537
2022-04-12,1.0538,1.0438,0.01,1.0538
2022-04-13,1.0541,1.0441,0.03,1.0541
2022-04-14,1.0547,1.0447,0.06,1.0547
2022-04-15,1.055,1.045,0.03,1.055
2022-04-18,1.0549,1.0449,-0.01,1.0549
2022-04-19,1.0551,1.0451,0.02,1.0551
2022-04-20,1.0551,1.0451,0.0,1.0551
2022-04-21,1.0554,1.0454,0.03,1.0554
2022-04-22,1.0557,1.0457,0.03,1.0557
2022-04-25,1.0561,1.0461,0.04,1.0561
2022-04-26,1.0564,1.0464,0.03,1.0564
2022-04-27,1.0565,1.0465,0.01,1.0565
2022-04-28,1.0565,1.0465,0.0,1.0565
2022-04-29,1.0567,1.0467,0.02,1.0567
2022-05-05,1.0572,1.0472,0.05,1.0572
2022-05-06,1.0574,1.0474,0.02,1.0574
2022-05-09,1.0578,1.0478,0.04,1.0578
2022-05-10,1.0582,1.0482,0.04,1.0582
2022-05-11,1.0584,1.0484,0.02,1.0584
2022-05-12,1.0588,1.0488,0.04,1.0588
2022-05-13,1.0592,1.0492,0.04,1.0592
2022-05-16,1.0596,1.0496,0.04,1.0596
2022-05-17,1.0601,1.0501,0.05,1.0601
2022-05-18,1.0607,1.0507,0.06,1.0607
2022-05-19,1.0612,1.0512,0.05,1.0612
2022-05-20,1.0613,1.0513,0.01,1.0613
2022-05-23,1.0617,1.0517,0.04,1.0617
2022-05-24,1.0619,1.0519,0.02,1.0619
2022-05-25,1.062,1.052,0.01,1.062
2022-05-26,1.0624,1.0524,0.04,1.0624
2022-05-27,1.0627,1.0527,0.03,1.0627
2022-05-30,1.0626,1.0526,-0.01,1.0626
2022-05-31,1.0619,1.0519,-0.07,1.0619
2022-06-01,1.0616,1.0516,-0.03,1.0616
2022-06-02,1.061,1.051,-0.06,1.061
2022-06-06,1.0605,1.0505,-0.05,1.0605
2022-06-07,1.0599,1.0499,-0.06,1.0599
2022-06-08,1.0599,1.0499,0.0,1.0599
2022-06-09,1.0602,1.0502,0.03,1.0602
2022-06-10,1.0605,1.0505,0.03,1.0605
2022-06-13,1.0609,1.0509,0.04,1.0609
2022-06-14,1.0609,1.0509,0.0,1.0609
2022-06-15,1.0609,1.0509,0.0,1.0609
2022-06-16,1.0612,1.0512,0.03,1.0612
2022-06-17,1.0617,1.0517,0.05,1.0617
2022-06-20,1.0619,1.0519,0.02,1.0619
2022-06-21,1.062,1.052,0.01,1.062
2022-06-22,1.0621,1.0521,0.01,1.0621
2022-06-23,1.0625,1.0525,0.04,1.0625
2022-06-24,1.0626,1.0526,0.01,1.0626
2022-06-27,1.0621,1.0521,-0.05,1.0621
2022-06-28,1.062,1.052,-0.01,1.062
2022-06-29,1.062,1.052,0.0,1.062
2022-06-30,1.0622,1.0522,0.02,1.0622
2022-07-01,1.0625,1.0525,0.03,1.0625
2022-07-04,1.0623,1.0523,-0.02,1.0623
2022-07-05,1.0621,1.0521,-0.02,1.0621
2022-07-06,1.0624,1.0524,0.03,1.0624
2022-07-07,1.0626,1.0526,0.02,1.0626
2022-07-08,1.0628,1.0528,0.02,1.0628
2022-07-11,1.0633,1.0533,0.05,1.0633
2022-07-12,1.0638,1.0538,0.05,1.0638
2022-07-13,1.0642,1.0542,0.04,1.0642
2022-07-14,1.0647,1.0547,0.05,1.0647
2022-07-15,1.065,1.055,0.03,1.065
2022-07-18,1.0656,1.0556,0.06,1.0656
2022-07-19,1.0659,1.0559,0.03,1.0659
2022-07-20,1.0662,1.0562,0.03,1.0662
2022-07-21,1.0667,1.0567,0.05,1.0667
2022-07-22,1.0669,1.0569,0.02,1.0669
2022-07-25,1.0676,1.0576,0.07,1.0676
2022-07-26,1.068,1.058,0.04,1.068
2022-07-27,1.0683,1.0583,0.03,1.0683
2022-07-28,1.0683,1.0583,0.0,1.0683
2022-07-29,1.0687,1.0587,0.04,1.0687
2022-08-01,1.0694,1.0594,0.07,1.0694
2022-08-02,1.0701,1.0601,0.07,1.0701
2022-08-03,1.0705,1.0605,0.04,1.0705
2022-08-04,1.071,1.061,0.05,1.071
2022-08-05,1.071,1.061,0.0,1.071
2022-08-08,1.0712,1.0612,0.02,1.0712
2022-08-09,1.0708,1.0608,-0.04,1.0708
2022-08-10,1.0707,1.0607,-0.01,1.0707
2022-08-11,1.0704,1.0604,-0.03,1.0704
2022-08-12,1.0708,1.0608,0.04,1.0708
2022-08-15,1.0718,1.0618,0.09,1.0718
2022-08-16,1.0724,1.0624,0.06,1.0724
2022-08-17,1.0724,1.0624,0.0,1.0724
2022-08-18,1.0726,1.0626,0.02,1.0726
2022-08-19,1.0727,1.0627,0.01,1.0727
2022-08-22,1.0728,1.0628,0.01,1.0728
2022-08-23,1.0728,1.0628,0.0,1.0728
2022-08-24,1.0725,1.0625,-0.03,1.0725
2022-08-25,1.0721,1.0621,-0.04,1.0721
2022-08-26,1.0717,1.0617,-0.04,1.0717
2022-08-29,1.0717,1.0617,0.0,1.0717
2022-08-30,1.0719,1.0619,0.02,1.0719
2022-08-31,1.0721,1.0621,0.02,1.0721
2022-09-01,1.0724,1.0624,0.03,1.0724
2022-09-02,1.0726,1.0626,0.02,1.0726
2022-09-05,1.073,1.063,0.04,1.073
2022-09-06,1.0732,1.0632,0.02,1.0732
2022-09-07,1.0734,1.0634,0.02,1.0734
2022-09-08,1.0734,1.0634,0.0,1.0734
2022-09-09,1.0735,1.0635,0.01,1.0735
2022-09-13,1.0737,1.0637,0.02,1.0737
2022-09-14,1.0736,1.0636,-0.01,1.0736
2022-09-15,1.0737,1.0637,0.01,1.0737
2022-09-16,1.0738,1.0638,0.01,1.0738
2022-09-19,1.0738,1.0638,0.0,1.0738
2022-09-20,1.0737,1.0637,-0.01,1.0737
2022-09-21,1.074,1.064,0.03,1.074
2022-09-22,1.0742,1.0642,0.02,1.0742
2022-09-23,1.0743,1.0643,0.01,1.0743
2022-09-26,1.0741,1.0641,-0.02,1.0741
2022-09-27,1.0738,1.0638,-0.03,1.0738
2022-09-28,1.0736,1.0636,-0.02,1.0736
2022-09-29,1.0734,1.0634,-0.02,1.0734
2022-09-30,1.0731,1.0631,-0.03,1.0731
2022-10-10,1.0742,1.0642,0.1,1.0742
2022-10-11,1.0744,1.0644,0.02,1.0744
2022-10-12,1.0745,1.0645,0.01,1.0745
2022-10-13,1.0747,1.0647,0.02,1.0747
2022-10-14,1.075,1.065,0.03,1.075
2022-10-17,1.0753,1.0653,0.03,1.0753
2022-10-18,1.0754,1.0654,0.01,1.0754
2022-10-19,1.0757,1.0657,0.03,1.0757
2022-10-20,1.0757,1.0657,0.0,1.0757
2022-10-21,1.0758,1.0658,0.01,1.0758
2022-10-24,1.0759,1.0659,0.01,1.0759
2022-10-25,1.0757,1.0657,-0.02,1.0757
2022-10-26,1.0757,1.0657,0.0,1.0757
2022-10-27,1.0758,1.0658,0.01,1.0758
2022-10-28,1.0759,1.0659,0.01,1.0759
