年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-12,2021-01-12,0.0100,2021-01-13
2020年,2020-10-16,2020-10-16,0.0100,2020-10-19
2020年,2020-07-10,2020-07-10,0.0100,2020-07-13
2020年,2020-01-10,2020-01-10,0.0300,2020-01-13
2019年,2019-10-14,2019-10-14,0.0400,2019-10-15
2019年,2019-04-10,2019-04-10,0.0400,2019-04-11
2018年,2018-01-12,2018-01-12,0.0300,2018-01-15
2017年,2017-10-17,2017-10-17,0.0400,2017-10-18
2017年,2017-07-12,2017-07-12,0.0500,2017-07-13
2017年,2017-04-14,2017-04-14,0.0500,2017-04-17
2016年,2016-07-13,2016-07-13,0.0250,2016-07-14
2016年,2016-01-13,2016-01-13,0.0400,2016-01-14
2015年,2015-07-10,2015-07-10,0.0600,2015-07-13
2015年,2015-04-13,2015-04-13,0.0480,2015-04-14
2015年,2015-01-14,2015-01-14,0.0400,2015-01-15
2014年,2014-10-16,2014-10-16,0.0800,2014-10-17
2014年,2014-07-09,2014-07-09,0.0700,2014-07-10
2013年,2013-10-16,2013-10-16,0.0800,2013-10-17
2013年,2013-04-12,2013-04-12,0.0700,2013-04-15
2013年,2013-01-17,2013-01-17,0.0700,2013-01-18
2012年,2012-07-13,2012-07-13,0.0600,2012-07-16
2012年,2012-04-16,2012-04-16,0.0600,2012-04-17
2010年,2010-12-24,2010-12-24,0.0200,2010-12-27
2010年,2010-10-20,2010-10-20,0.0200,2010-10-21
2010年,2010-01-20,2010-01-20,0.0200,2010-01-21
2009年,2009-10-26,2009-10-26,0.0200,2009-10-27
2009年,2009-07-13,2009-07-13,0.0200,2009-07-14
2009年,2009-05-12,2009-05-12,0.0200,2009-05-13
2008年,2008-09-25,2008-09-25,0.0100,2008-09-26
2008年,2008-06-30,2008-06-30,0.0100,2008-07-01
2008年,2008-03-28,2008-03-28,0.0200,2008-03-31
2007年,2007-12-14,2007-12-14,0.0800,2007-12-17
2007年,2007-09-11,2007-09-11,0.0800,2007-09-12
2007年,2007-06-01,2007-06-01,0.0800,2007-06-04
2007年,2007-02-16,2007-02-16,0.0800,2007-02-26
2007年,2007-01-24,2007-01-24,0.0600,2007-01-25
2006年,2006-11-15,2006-11-15,0.0600,2006-11-16
2006年,2006-08-18,2006-08-18,0.0800,2006-08-21
2006年,2006-04-06,2006-04-06,0.0400,2006-04-07
2006年,2006-03-24,2006-03-24,0.0300,2006-03-27
2005年,2005-09-26,2005-09-26,0.0200,2005-09-28
2005年,2005-04-25,2005-04-25,0.0200,2005-04-27
2005年,2005-04-04,2005-04-04,0.0200,2005-04-06
2004年,2004-11-15,2004-11-15,0.0200,2004-11-17
2004年,2004-09-22,2004-09-22,0.0200,2004-09-24
2004年,2004-02-11,2004-02-11,0.0200,2004-02-13
