年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-15,2021-01-15,0.0200,2021-01-18
2020年,2020-10-23,2020-10-23,0.0090,2020-10-26
2020年,2020-07-14,2020-07-14,0.0090,2020-07-15
2020年,2020-04-14,2020-04-14,0.0080,2020-04-15
2017年,2017-01-17,2017-01-17,0.0010,2017-01-18
2016年,2016-10-27,2016-10-27,0.0160,2016-10-28
2016年,2016-07-14,2016-07-14,0.0240,2016-07-15
2016年,2016-04-14,2016-04-14,0.0360,2016-04-15
2016年,2016-01-14,2016-01-14,0.0370,2016-01-15
2015年,2015-10-20,2015-10-20,0.0260,2015-10-21
2015年,2015-07-10,2015-07-10,0.1090,2015-07-13
2015年,2015-04-13,2015-04-13,0.0460,2015-04-14
2015年,2015-01-15,2015-01-15,0.0420,2015-01-16
2014年,2014-10-20,2014-10-20,0.0210,2014-10-21
2014年,2014-07-09,2014-07-09,0.0280,2014-07-10
