年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-22,2020-12-22,0.0470,2020-12-23
2020年,2020-06-23,2020-06-23,0.0280,2020-06-24
2020年,2020-03-26,2020-03-26,0.0340,2020-03-27
2016年,2016-12-08,2016-12-08,0.3130,2016-12-09
2014年,2014-06-24,2014-06-24,0.0450,2014-06-25
2013年,2013-06-25,2013-06-25,0.0150,2013-06-26
2010年,2010-12-16,2010-12-16,0.0350,2010-12-17
2010年,2010-09-27,2010-09-27,0.0300,2010-09-28
2010年,2010-07-09,2010-07-09,0.0100,2010-07-12
2010年,2010-04-09,2010-04-09,0.0150,2010-04-12
2010年,2010-02-08,2010-02-08,0.0150,2010-02-09
2009年,2009-06-11,2009-06-11,0.0150,2009-06-12
2008年,2008-11-12,2008-11-12,0.0028,2008-11-13
