年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-24,2020-12-24,0.2500,2020-12-28
2020年,2020-07-10,2020-07-10,0.0100,2020-07-14
2020年,2020-02-18,2020-02-18,0.0100,2020-02-20
2017年,2017-06-14,2017-06-14,0.1600,2017-06-16
2016年,2016-01-22,2016-01-22,0.2100,2016-01-26
2015年,2015-06-02,2015-06-02,0.0100,2015-06-04
2007年,2007-10-16,2007-10-16,0.0100,2007-10-18
2007年,2007-08-27,2007-08-27,0.0100,2007-08-29
2007年,2007-06-26,2007-06-26,1.0390,2007-06-28
2007年,2007-05-25,2007-05-25,0.0100,2007-05-29
2007年,2007-04-11,2007-04-11,0.0100,2007-04-13
2007年,2007-01-30,2007-01-30,0.0600,2007-02-01
2006年,2006-12-28,2006-12-28,0.0200,2007-01-04
2006年,2006-12-11,2006-12-11,0.0800,2006-12-13
