年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-25,2021-01-25,0.0100,2021-01-27
2020年,2020-10-21,2020-10-21,0.0150,2020-10-23
2020年,2020-04-14,2020-04-14,0.0160,2020-04-16
2020年,2020-01-14,2020-01-14,0.0320,2020-01-16
2019年,2019-07-11,2019-07-11,0.0310,2019-07-15
2019年,2019-01-14,2019-01-14,0.0180,2019-01-16
2018年,2018-10-18,2018-10-18,0.0100,2018-10-22
2016年,2016-10-19,2016-10-19,0.0190,2016-10-21
2016年,2016-01-13,2016-01-13,0.0400,2016-01-15
2015年,2015-07-13,2015-07-13,0.0600,2015-07-15
2015年,2015-01-20,2015-01-20,0.0660,2015-01-22
2014年,2014-10-16,2014-10-16,0.0640,2014-10-20
2013年,2013-08-27,2013-08-27,0.0400,2013-08-29
2013年,2013-01-14,2013-01-14,0.0180,2013-01-16
2012年,2012-06-25,2012-06-25,0.0200,2012-06-27
2011年,2011-01-12,2011-01-12,0.0540,2011-01-14
2010年,2010-12-10,2010-12-10,0.0200,2010-12-14
2010年,2010-01-19,2010-01-19,0.0500,2010-01-21
2009年,2009-11-11,2009-11-11,0.0500,2009-11-13
2009年,2009-02-27,2009-02-27,0.0360,2009-03-03
2008年,2008-11-14,2008-11-14,0.0300,2008-11-18
