年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-15,2020-12-15,0.0300,2020-12-17
2020年,2020-06-16,2020-06-16,0.0520,2020-06-18
2020年,2020-03-19,2020-03-19,0.0280,2020-03-23
2019年,2019-12-13,2019-12-13,0.0300,2019-12-17
2019年,2019-09-24,2019-09-24,0.0420,2019-09-26
2019年,2019-06-25,2019-06-25,0.0070,2019-06-27
2019年,2019-03-18,2019-03-18,0.0260,2019-03-20
2018年,2018-06-15,2018-06-15,0.0090,2018-06-20
2018年,2018-03-23,2018-03-23,0.0120,2018-03-27
2017年,2017-12-25,2017-12-25,0.0360,2017-12-27
2017年,2017-09-27,2017-09-27,0.0220,2017-09-29
2017年,2017-06-15,2017-06-15,0.0150,2017-06-19
