年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-08,2020-12-08,0.0150,2020-12-10
2020年,2020-06-22,2020-06-22,0.0140,2020-06-24
2020年,2020-03-25,2020-03-25,0.0110,2020-03-27
2019年,2019-12-19,2019-12-19,0.0110,2019-12-23
2019年,2019-09-25,2019-09-25,0.0120,2019-09-27
2019年,2019-06-24,2019-06-24,0.0100,2019-06-26
2019年,2019-03-25,2019-03-25,0.0100,2019-03-27
2018年,2018-12-18,2018-12-18,0.0150,2018-12-20
2018年,2018-09-20,2018-09-20,0.0160,2018-09-25
2018年,2018-06-26,2018-06-26,0.0070,2018-06-28
2018年,2018-03-27,2018-03-27,0.0090,2018-03-29
2017年,2017-12-26,2017-12-26,0.0050,2017-12-28
2017年,2017-09-27,2017-09-27,0.0080,2017-09-29
2017年,2017-06-22,2017-06-22,0.0060,2017-06-26
2017年,2017-03-22,2017-03-22,0.0050,2017-03-24
2016年,2016-12-13,2016-12-13,0.0900,2016-12-15
2016年,2016-03-08,2016-03-08,0.1000,2016-03-10
