年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-03-01,2021-03-01,0.0720,2021-03-02
2021年,2021-02-08,2021-02-08,0.0820,2021-02-09
2021年,2021-01-28,2021-01-28,0.0750,2021-01-29
2021年,2021-01-13,2021-01-13,0.0800,2021-01-14
2020年,2020-12-22,2020-12-22,0.0700,2020-12-23
2020年,2020-03-11,2020-03-11,0.0350,2020-03-12
2020年,2020-01-21,2020-01-21,0.0300,2020-01-22
2019年,2019-12-19,2019-12-19,0.0500,2019-12-20
2018年,2018-03-21,2018-03-21,0.0550,2018-03-22
2018年,2018-01-15,2018-01-15,0.0600,2018-01-16
2016年,2016-03-23,2016-03-23,0.2350,2016-03-24
2016年,2016-01-20,2016-01-20,0.1400,2016-01-21
2015年,2015-01-15,2015-01-15,0.0350,2015-01-16
2013年,2013-01-17,2013-01-17,0.0120,2013-01-18
2010年,2010-03-17,2010-03-17,0.0800,2010-03-18
2010年,2010-02-08,2010-02-08,0.1500,2010-02-09
2009年,2009-12-22,2009-12-22,0.0600,2009-12-23
2008年,2008-11-24,2008-11-24,0.2200,2008-11-25
2008年,2008-09-17,2008-09-17,0.2000,2008-09-18
2008年,2008-06-17,2008-06-17,0.2500,2008-06-18
2008年,2008-04-14,2008-04-14,0.2000,2008-04-15
2007年,2007-04-02,2007-04-02,0.1200,2007-04-03
2007年,2007-01-04,2007-01-04,0.0600,2007-01-05
