年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-13,2021-01-13,0.0113,2021-01-15
2020年,2020-07-13,2020-07-13,0.0138,2020-07-15
2020年,2020-04-14,2020-04-14,0.0130,2020-04-16
2020年,2020-01-15,2020-01-15,0.0117,2020-01-17
2019年,2019-10-17,2019-10-17,0.0122,2019-10-21
2019年,2019-07-11,2019-07-11,0.0125,2019-07-15
2019年,2019-04-11,2019-04-11,0.0140,2019-04-15
2019年,2019-01-10,2019-01-10,0.0140,2019-01-14
2018年,2018-10-18,2018-10-18,0.0200,2018-10-22
2018年,2018-07-11,2018-07-11,0.0091,2018-07-13
2018年,2018-01-11,2018-01-11,0.0100,2018-01-15
2016年,2016-10-18,2016-10-18,0.0090,2016-10-20
2016年,2016-07-13,2016-07-13,0.0244,2016-07-15
2016年,2016-04-18,2016-04-18,0.0200,2016-04-20
2016年,2016-01-15,2016-01-15,0.0310,2016-01-19
2015年,2015-10-22,2015-10-22,0.0520,2015-10-26
2015年,2015-07-16,2015-07-16,0.0510,2015-07-20
2015年,2015-04-13,2015-04-13,0.0450,2015-04-15
2015年,2015-01-16,2015-01-16,0.0500,2015-01-20
2014年,2014-10-17,2014-10-17,0.0120,2014-10-21
2014年,2014-07-15,2014-07-15,0.0100,2014-07-17
2014年,2014-04-15,2014-04-15,0.0100,2014-04-17
2014年,2014-01-20,2014-01-20,0.0100,2014-01-22
2013年,2013-07-11,2013-07-11,0.0150,2013-07-15
2013年,2013-04-16,2013-04-16,0.0300,2013-04-18
2013年,2013-01-22,2013-01-22,0.0100,2013-01-24
2012年,2012-10-22,2012-10-22,0.0100,2012-10-24
2011年,2011-07-18,2011-07-18,0.0100,2011-07-20
