年份,权益登记日,除息日,每份分红,分红发放日
2007年,2007-09-06,2007-09-06,0.7600,2007-09-10
2007年,2007-04-18,2007-04-18,0.0350,2007-04-19
2007年,2007-01-26,2007-01-26,1.1800,2007-01-29
2006年,2006-12-08,2006-12-08,0.0800,2006-12-11
2006年,2006-11-01,2006-11-01,0.0300,2006-11-02
2006年,2006-05-30,2006-05-30,0.0500,2006-05-31
2006年,2006-03-13,2006-03-13,0.0400,2006-03-14
2006年,2006-01-20,2006-01-20,0.0150,2006-01-23
2005年,2005-09-07,2005-09-07,0.0200,2005-09-08
2005年,2005-04-18,2005-04-18,0.0200,2005-04-19
2005年,2005-02-28,2005-02-28,0.0150,2005-03-01
2004年,2004-11-01,2004-11-01,0.0150,2004-11-02
