年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-11,2020-12-11,0.0230,2020-12-14
2020年,2020-08-12,2020-08-12,0.0330,2020-08-13
2020年,2020-03-13,2020-03-13,0.0162,2020-03-16
2017年,2017-09-13,2017-09-13,0.0280,2017-09-14
2017年,2017-06-14,2017-06-14,0.0300,2017-06-15
2015年,2015-06-10,2015-06-10,0.0340,2015-06-11
2015年,2015-05-13,2015-05-13,0.0310,2015-05-14
2015年,2015-04-15,2015-04-15,0.0310,2015-04-16
2015年,2015-02-10,2015-02-10,0.0520,2015-02-11
2015年,2015-01-16,2015-01-16,0.0280,2015-01-19
2014年,2014-12-12,2014-12-12,0.0270,2014-12-15
